date,source,data_type,list_type,keyword,rank,title,price,rating,review_count,likes,comments,views,published_at,competition_count,product_url,image_url,hot_score,reason
2026-06-29,amazon_us,product,search,platform sandals women,14,DREAM PAIRS Women's Platform Espadrilles Casual Ankle Strap Wedge Sandals Comfortable Dressy Summer Shoes DREAM PAIRS Women's Platform Espadrilles Casual Ankle Strap Wedge Sandals Comfortable Dressy Summe…,¥230.33,4.3,4.3,,,,,,https://aax-us-east-retail-direct.amazon.com/x/c/JAilgRmQvET9wgYc_YxmZE4AAAGfE9_gPgEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICDNwDgR/clv1c_ek-wBPHXFbbWzjK3YpscrxfcOWxCnjqP711bB031t4FGvjUC8nd4A4aUaAkOEbGdJkJ-73Na2q1I7YAnghNUUAHUjwROU8bg-wluD6thW91wk_BGighui5P7wM305vUzYschi7M5VKJ8iNs5vvoAAGHfgv0clF3OUuHS9y_qbIUZRH-1JxAmXwc0l4oqQDc18_1SMghDz8cJVeZuvlHoGvy3NhvfVB-jhjfluSQ1qdLMA4kXWmumPEWbpvEkZi0UOehxbx9iMWCQmvkX86KIey-Cu4tysgEWi0S1HvwMugrpwLOEXl8Y-b2umoI7bU53ES5anMva8BUkbZRn63wtCpb4t9eiYSCMoeekvc0k49qcpbyH47SjtCuxl1x8hBpwDAqF82ByKyQNMR1Xprxfh7x5alI4bZB9tzBN6pwT5GnVlYwmKLv8rCWkO3BBtkzyBZNoKdnR5nd_5f-kJpxGbTKrL9S_1jazg0NWb8J7E356ypABtFHDARwKpU2RCdHNWZERBhP0F9IPRVwq3jdAtk1hMmfNlJKTbWu_-5fpefZ8SxW8eMDLYyhLi8vJL37UPXIUzlSM2O-rPkRI4V60iqNlNUoXvUoDl3D29qt-AVVyhrkJBZmiOmskn229_bw62JospAQKiaB4awG0ZD-G0DFfkuHTZ6ajCFSzPJIrT9qJggKdS3_IPh0EPnc2VFl89TbVamDLB_51Y8q588D-SC9wWef69uM9XXtPMmbM4lfvYb-zw_0tLSAFaAhlhc7RlkMboeLHVy2I8Gn-Rm-t_RlNyQczjKtR7nLGrdw1Bo0KXavGRTI5TAdVpj33Aenn9-iO6zLygIUSXFdiPUm5reXE6iwwCX7TFGwa7CmGuqFKQ882gxJoztRvc85FsbfcZ4QacDFX5fShI3A4CVs4h1bWHxXFJRBNvlNG6XFHdiWrHQnRi2ReYEcvvCI9vBI1GD7LSx1IKHgZ1kTaF7LKrhs1mF96QMrJ_xNTBfDlF5aKoNa5kiDcYwhflS2LTsNdH1eaPNJ72fJUYyWmGTOjPoCa-5kppItRc9l76DIfCKS6leFGSev7N5vlHSTFwzeSoFTPEoQ7B5maF6uXejIUMWK6PCKQYvPhRe7qZiG-NPmhpyD378FxWlXCeagk_OA59pMEwpmtvmln_6ctQdb0M1ty5YerkROo4mdDDpW9jQZym08N2HkuRJOqXJwCljG7zEaITjiwr7-hkni888x1Mi1CQbf47UISkRikJXJ15QtesxFpWQeq64jmRqBbZZcQpxrVTjLOg41txhuc54gUBe7EzWj0Fpa4133HUEdGbeC6BW95KeK0FDSPv0QafJuYTsCk_D1KAqRD2yhB-xYb6MVqrx7a4XnvH5R3UzmJtW9v800bfg6owNzyxiHmWUZTop72BMdPN0lKghzY_NbOGVyTvUSa3hW6L9xvIdtCzrTLV7cBcNa3-HaJ2SkU9R9JRTPrs8llvH3_pI8kvg1blqRanvKbIk-eYXNxG3Ds9NbvUlLw87jE_Ce8K3xkw0aad2lrQxdum5lRMd5e6fIBA3GdVfvIEbmF-ExUu_L6YvJOoIEiQGo9R5IrxB8kHgLDcRAMe8sqM32iGFDhi8FvtYUQPzZJ7B6RGEzVCRxlQ48pnGA9gA0F52llrY120Tpm5UE2YFFJ0MHC0OlJmQ21CohM975JJA/https://www.amazon.com/gp/aw/d/B0BYDB9LWG/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=d32893df9c3b7d9d13e3657dbdfbb2a6&hsa_cr_id=0&qid=1782744866&sr=1-1-f02f01d6-adaf-4bef-9a7c-29308eff9043&ref_=sbx__sbtcd2_asin_0_bkgd&pd_rd_w=eEnMA&content-id=amzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a%3Aamzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_p=5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_r=0X6Z1RPRR97GGMJRM2E4&pd_rd_wg=K8fL7&pd_rd_r=bc309c72-a865-4d6a-ad0d-4d24bfabdba3,"https://m.media-amazon.com/images/I/71qztPeVs6L._AC_SR322,134_CB1169409_QL70_.jpg",82,排名进入前30；价格处于人民币等值¥180.00-¥288.00区间；标题包含 platform、comfort、summer、wedge，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；评分达到4.3以上。
2026-06-29,amazon_us,product,search,platform sandals women,18,"DREAM PAIRS Women's Platform Wedge Sandals, Comfortable Peep-Toe Cork Casual & Dressy Summer Lightweight Shoes For All Day Wear DREAM PAIRS Women's Platform Wedge Sandals, Comfortable Peep-Toe Cork Casual & Dressy Summer Li…",¥287.93,4.5,4.5,,,,,,https://aax-us-east-retail-direct.amazon.com/x/c/JAilgRmQvET9wgYc_YxmZE4AAAGfE9_gPgEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICDNwDgR/clv1c_ek-wBPHXFbbWzjK3YpscrxfcOWxCnjqP711bB031t4FGvjUC8nd4A4aUaAkOEbGdJkJ-73Na2q1I7YAnghNUUAHUjwROU8bg-wluD6thW91wk_BGighui5P7wM305vUzYschi7M5VKJ8iNs5vvoAAGHfgv0clF3OUuHS9y_qbIUZRH-1JxAmXwc0l4oqQDc18_1SMghDz8cJVeZuvlHoGvy3NhvfVB-jhjfluSQ1qdLMA4kXWmumPEWbpvEkZi0UOehxbx9iMWCQmvkX86KIey-Cu4tysgEWi0S1HvwMugrpwLOEXl8Y-b2umoI7bU53ES5anMva8BUkbZRn63wtCpb4t9eiYSCMoeekvc0k49qcpbyH47SjtCuxl1x8hBpwDAqF82ByKyQNMR1Xprxfh7x5alI4bZB9tzBN6pwT5GnVlYwmKLv8rCWkO3BBtkzyBZNoKdnR5nd_5f-kJpxGbTKrL9S_1jazg0NWb8J7E356ypABtFHDARwKpU2RCdHNWZERBhP0F9IPRVwq3jdAtk1hMmfNlJKTbWu_-5fpefZ8SxW8eMDLYyhLi8vJL37UPXIUzlSM2O-rPkRI4V60iqNlNUoXvUoDl3D29qt-AVVyhrkJBZmiOmskn229_bw62JospAQKiaB4awG0ZD-G0DFfkuHTZ6ajCFSzPJIrT9qJggKdS3_IPh0EPnc2VFl89TbVamDLB_51Y8q588D-SC9wWef69uM9XXtPMmbM4lfvYb-zw_0tLSAFaAhlhc7RlkMboeLHVy2I8Gn-Rm-t_RlNyQczjKtR7nLGrdw1Bo0KXavGRTI5TAdVpj33Aenn9-iO6zLygIUSXFdiPUm5reXE6iwwCX7TFGwa7CmGuqFKQ882gxJoztRvc85FsbfcZ4QacDFX5fShI3A4CVs4h1bWHxXFJRBNvlNG6XFHdiWrHQnRi2ReYEcvvCI9vBI1GD7LSx1IKHgZ1kTaF7LKrhs1mF96QMrJ_xNTBfDlF5aKoNa5kiDcYwhflS2LTsNdH1eaPNJ72fJUYyWmGTOjPoCa-5kppItRc9l76DIfCKS6leFGSev7N5vlHSTFwzeSoFTPEoQ7B5maF6uXejIUMWK6PCKQYvPhRe7qZiG-NPmhpyD378FxWlXCeagk_OA59pMEwpmtvmln_6ctQdb0M1ty5YerkROo4mdDDpW9jQZym08N2HkuRJOqXJwCljG7zEaITjiwr7-hkni888x1Mi1CQbf47UISkRikJXJ15QtesxFpWQeq64jmRqBbZZcQpxrVTjLOg41txhuc54gUBe7EzWj0Fpa4133HUEdGbeC6BW95KeK0FDSPv0QafJuYTsCk_D1KAqRD2yhB-xYb6MVqrx7a4XnvH5R3UzmJtW9v800bfg6owNzyxiHmWUZTop72BMdPN0lKghzY_NbOGVyTvUSa3hW6L9xvIdtCzrTLV7cBcNa3-HaJ2SkU9R9JRTPrs8llvH3_pI8kvg1blqRanvKbIk-eYXNxG3Ds9NbvUlLw87jE_Ce8K3xkw0aad2lrQxdum5lRMd5e6fIBA3GdVfvIEbmF-ExUu_L6YvJOoIEiQGo9R5IrxB8kHgLDcRAMe8sqM32iGFDhi8FvtYUQPzZJ7B6RGEzVCRxlQ48pnGA9gA0F52llrY120Tpm5UE2YFFJ0MHC0OlJmQ21CohM975JJA/https://www.amazon.com/gp/aw/d/B0DMSRXXYH/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=d32893df9c3b7d9d13e3657dbdfbb2a6&hsa_cr_id=0&qid=1782744866&sr=1-5-f02f01d6-adaf-4bef-9a7c-29308eff9043&ref_=sbx__sbtcd2_asin_4_bkgd&pd_rd_w=eEnMA&content-id=amzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a%3Aamzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_p=5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_r=0X6Z1RPRR97GGMJRM2E4&pd_rd_wg=K8fL7&pd_rd_r=bc309c72-a865-4d6a-ad0d-4d24bfabdba3,"https://m.media-amazon.com/images/I/71c5ZV793vL._AC_SR322,134_CB1169409_QL70_.jpg",82,排名进入前30；价格处于人民币等值¥180.00-¥288.00区间；标题包含 platform、comfort、summer、wedge，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；评分达到4.3以上。
2026-06-29,amazon_us,product,new_releases,New Releases Women Sandals,29,COFACE Womens Rhinestone Orthopedic Flip Flops Lightweight Yoga Mat Thick Cushioned Recovery Walking Thong Sandals Adjustable Summer Beach Slippers with Comfortable Plantar Fasciitis Arch Support,,4.6,$32.99,,,,,,https://www.amazon.com/COFACE-Rhinestone-Orthopedic-Cushioned-Comfortable/dp/B0GVLYLDFP/ref=zg_bsnr_g_679425011_d_sccl_29/140-3804109-4499013?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71fBrTGWDYL._AC_UL600_SR600,400_.jpg",80,排名进入前30；标题包含 recovery、orthopedic、comfort、arch support、beach、summer，符合美国女鞋舒适化趋势；orthopedic + arch support组合趋势加分；评分达到4.6以上。
2026-06-29,amazon_us,product,new_releases,New Releases Women Sandals,7,"Project Cloud Genuine Leather Women’s Sandals – Thong Flip Flops with Plush Soft Insole, Arch Support & Non Slip Outsole – Comfortable Beach & Summer Slides",,4.1,$49.90,,,,,,https://www.amazon.com/Project-Cloud-Genuine-Leather-Sandals/dp/B0GHTGQ5T5/ref=zg_bsnr_g_679425011_d_sccl_7/140-3804109-4499013?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71Z4Hk2KC3L._AC_UL600_SR600,400_.jpg",79,排名靠前；标题包含 cloud、comfort、arch support、soft、beach、summer，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.0以上。
2026-06-29,amazon_us,product,search,platform sandals women,20,"DREAM PAIRS Strappy Espadrille Platform Wedge Sandals for Women Dressy Summer, Comfortable Open Toe Sandals with Cushioned Insole and Ankle Strap Buckle DREAM PAIRS Strappy Espadrille Platform Wedge Sandals for Women Dressy Summer, Comfortable Open…",¥230.33,4.2,4.2,,,,,,https://aax-us-east-retail-direct.amazon.com/x/c/JAilgRmQvET9wgYc_YxmZE4AAAGfE9_gPgEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICDNwDgR/clv1c_ek-wBPHXFbbWzjK3YpscrxfcOWxCnjqP711bB031t4FGvjUC8nd4A4aUaAkOEbGdJkJ-73Na2q1I7YAnghNUUAHUjwROU8bg-wluD6thW91wk_BGighui5P7wM305vUzYschi7M5VKJ8iNs5vvoAAGHfgv0clF3OUuHS9y_qbIUZRH-1JxAmXwc0l4oqQDc18_1SMghDz8cJVeZuvlHoGvy3NhvfVB-jhjfluSQ1qdLMA4kXWmumPEWbpvEkZi0UOehxbx9iMWCQmvkX86KIey-Cu4tysgEWi0S1HvwMugrpwLOEXl8Y-b2umoI7bU53ES5anMva8BUkbZRn63wtCpb4t9eiYSCMoeekvc0k49qcpbyH47SjtCuxl1x8hBpwDAqF82ByKyQNMR1Xprxfh7x5alI4bZB9tzBN6pwT5GnVlYwmKLv8rCWkO3BBtkzyBZNoKdnR5nd_5f-kJpxGbTKrL9S_1jazg0NWb8J7E356ypABtFHDARwKpU2RCdHNWZERBhP0F9IPRVwq3jdAtk1hMmfNlJKTbWu_-5fpefZ8SxW8eMDLYyhLi8vJL37UPXIUzlSM2O-rPkRI4V60iqNlNUoXvUoDl3D29qt-AVVyhrkJBZmiOmskn229_bw62JospAQKiaB4awG0ZD-G0DFfkuHTZ6ajCFSzPJIrT9qJggKdS3_IPh0EPnc2VFl89TbVamDLB_51Y8q588D-SC9wWef69uM9XXtPMmbM4lfvYb-zw_0tLSAFaAhlhc7RlkMboeLHVy2I8Gn-Rm-t_RlNyQczjKtR7nLGrdw1Bo0KXavGRTI5TAdVpj33Aenn9-iO6zLygIUSXFdiPUm5reXE6iwwCX7TFGwa7CmGuqFKQ882gxJoztRvc85FsbfcZ4QacDFX5fShI3A4CVs4h1bWHxXFJRBNvlNG6XFHdiWrHQnRi2ReYEcvvCI9vBI1GD7LSx1IKHgZ1kTaF7LKrhs1mF96QMrJ_xNTBfDlF5aKoNa5kiDcYwhflS2LTsNdH1eaPNJ72fJUYyWmGTOjPoCa-5kppItRc9l76DIfCKS6leFGSev7N5vlHSTFwzeSoFTPEoQ7B5maF6uXejIUMWK6PCKQYvPhRe7qZiG-NPmhpyD378FxWlXCeagk_OA59pMEwpmtvmln_6ctQdb0M1ty5YerkROo4mdDDpW9jQZym08N2HkuRJOqXJwCljG7zEaITjiwr7-hkni888x1Mi1CQbf47UISkRikJXJ15QtesxFpWQeq64jmRqBbZZcQpxrVTjLOg41txhuc54gUBe7EzWj0Fpa4133HUEdGbeC6BW95KeK0FDSPv0QafJuYTsCk_D1KAqRD2yhB-xYb6MVqrx7a4XnvH5R3UzmJtW9v800bfg6owNzyxiHmWUZTop72BMdPN0lKghzY_NbOGVyTvUSa3hW6L9xvIdtCzrTLV7cBcNa3-HaJ2SkU9R9JRTPrs8llvH3_pI8kvg1blqRanvKbIk-eYXNxG3Ds9NbvUlLw87jE_Ce8K3xkw0aad2lrQxdum5lRMd5e6fIBA3GdVfvIEbmF-ExUu_L6YvJOoIEiQGo9R5IrxB8kHgLDcRAMe8sqM32iGFDhi8FvtYUQPzZJ7B6RGEzVCRxlQ48pnGA9gA0F52llrY120Tpm5UE2YFFJ0MHC0OlJmQ21CohM975JJA/https://www.amazon.com/gp/aw/d/B0CMSYZKGL/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=d32893df9c3b7d9d13e3657dbdfbb2a6&hsa_cr_id=0&qid=1782744866&sr=1-7-f02f01d6-adaf-4bef-9a7c-29308eff9043&ref_=sbx__sbtcd2_asin_6_bkgd&pd_rd_w=eEnMA&content-id=amzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a%3Aamzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_p=5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_r=0X6Z1RPRR97GGMJRM2E4&pd_rd_wg=K8fL7&pd_rd_r=bc309c72-a865-4d6a-ad0d-4d24bfabdba3,"https://m.media-amazon.com/images/I/71DV9er7qlL._AC_SR322,134_CB1169409_QL70_.jpg",79,排名进入前30；价格处于人民币等值¥180.00-¥288.00区间；标题包含 platform、comfort、summer、wedge，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；评分达到4.0以上。
2026-06-29,amazon_us,product,best_sellers,Best Sellers Women Sandals,24,shevalues Orthopedic Sandals for Women Arch Support Recovery Flip Flops Pillow Soft Summer Beach Shoes,,4.3,$18.99,,,,,,https://www.amazon.com/Orthotic-Pillow-Recovery-Sandals-Support/dp/B09LC836QG/ref=zg_bs_g_679425011_d_sccl_24/136-8502453-9160419?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61o9ArJVVsL._AC_UL600_SR600,400_.jpg",77,排名进入前30；标题包含 recovery、orthopedic、arch support、soft、beach、summer，符合美国女鞋舒适化趋势；orthopedic + arch support组合趋势加分；评分达到4.3以上。
2026-06-29,amazon_us,product,best_sellers,Best Sellers Women Sandals,2,Project Cloud 100% Genuine Leather Flat Sandals For Women 2026 Cork Footbed Womens Sandals with Memory Foam and arch support Vacation Essentials Slides for Women Footwear (Venita),,4.4,$39.90,,,,,,https://www.amazon.com/Project-Cloud-Comfortable-Essentials-Vacation/dp/B0CNYCN928/ref=zg_bs_g_679425011_d_sccl_2/136-8502453-9160419?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61PPWwEkHDL._AC_UL600_SR600,400_.jpg",76,排名靠前；标题包含 cloud、arch support，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.3以上。
2026-06-29,amazon_us,product,search,women slides,25,LongBay Women's Fuzzy Slippers Comfy Cloud Memory Foam House Shoes Home Open Toe Slides Indoor Outdoor LongBay Women's Fuzzy Slippers Comfy Cloud Memory Foam House Shoes Home Open Toe Slides Indoor Out…,¥71.93,4.4,4.4,,,,,,https://aax-us-east-retail-direct.amazon.com/x/c/JK8Gjz9b8Z9c2FTh8ZrdY5EAAAGfE9_enwEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDIgICBD8AcD/clv1c_ek-ABPHXFbbWzjK3YpscrxfcOWxCnjqP791SA93piw5CVBfbtTwn3L8Ou-0QjgluhQnFUHPc0dyMZKVnFv95h4bQSf3ENvLvWml1AVDWGsQ5ngUf-6CeTej-6hEkBrCiVq4-DxIzqPKE05-sKCKocMPLYd6SpsVqYORxTDar0bb3-Ss4V96RMu2gfM-FIbGWfha8a09RJx-YtVbc9MiuOdgxHdi1rtx-icM3gaOYapLXUDvpw1YZwwIplcb9dKfRlSeImHG3QrXb2Sx9wNBMW8WRztXoVY5t1Ee3Ya6S05NS3bcufBOcGfJTchuU24w-vRrw4JwrgV0ZgZDLmksQ2cvSoiiLgDgagT3ZJvFJUzsistCjK-uHF5SwR3JezLBgRU0bD9_5nS7NeuM3t6FjQJjr29SjpW49A1NRhuPHk1eBK-SeuXcjoo4S4IPMMT2FSEsUPhlSd52jU_ZmHkkKJiqUy7qQ4YX4tkM02TJ4B-1bcTVEoUoZbZt02bb4IgEebj1zg-oYfnKCxR6DlJovFFdiI7YZhyBAQLhyENd2DxtpETryvv_1QlEJgW5yvlJnSZ_LMRr7VeVxHTJXLs-JXVmsxui4c0YgrE68KK6AieTgmoha73HsD18RuWXXQPT9fqWziYqxtbKwzeY4asie0-1c3wA5ahmvcf24Q92s2boCs3LZyj4OTmBlyZ6pG9xK411C-nZXI2baB9wq5VLrMijLh6_7R1XTWPbsDPlnYxI3SEYbJjQS-RQpvFlsL5kUZkFV5x9IAwa513rre-8v2XAbtyCbH0-bNfXZZAJT_XmGZ_kLc7xVm3B_MO0rmcpOfKecSC7Cii3B3TKwcx4ut8TBZhj8NIWb3UwVmlUVg21GvrbBEo42aUVMuEWk0AZkSD7wOFeENhJbrj8H70PsjAWBbnXuiSLv-nlX7PLVmGtpDabIZM-um680dHNLRG8JKhhTf0Du6yq4u8-mp3gwrz5Ok9nZ9J6P4BHtl7Ef4Nv0cXmeesLtgZ74AIashS0OOIt4S9ycMQI2StaTD8UIn8MQrCGNWaLVFVzLb8IXB8j6DOB7Ave-r6bYGredcJ5eyrJAU0IIst2EO2LfFV-9qdI8flKuANyc0x0TzVftTaQXPn-EdUbUCUZ1QI8Cosw4BjcMyyjFiwm3uLt31X6VALPTZUi8PDTIEhR2NY8rB75Xa-OHkdZvavbAX_6rcBwQesXlOckZG3FGWosxZGle9e3XSyXKibycfjbww14sHDWpiSTp1K6Weuws6h6oARGPbeEzh3lNguNU6RVZQagchY2PrXK9SPvksyNsstZffMdYks6JmvqtYgY-i-WwNgob_ogWrwPjY1ZMKZdo4ZbkOIaADod4X3oaJ356-GFhGHReM8Pojb08yH0IBbMl0mKYc03xarBxoj6i1XkS4piwvCVwYiO2I56bq3ck4hDWRHMesZjqShX8csJ12dLzqZNVbCw8nwgwjtpmpGyQkwNStleMekmKkvHulctUg327phi4-RhSYKQerrWdWEoIINHqUhckM52jGqujlWF31wI4jzOXMXJxw0u-lN-X-dEcEmJ8WveT-WyZHmlUXDWpYoSHIpDbec65KFM5Lu0oNlx22Yq2lrvakTZ5aAFN-4G-GOuC_t5ipDQOBnusWmoDSZkxup5t_BFyga36LPDGIA/https://www.amazon.com/gp/aw/d/B07H3PB6LH/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=d3286fd0cb10f731dc7733bc0735ba4c&hsa_cr_id=0&qid=1782744866&sr=1-4-f02f01d6-adaf-4bef-9a7c-29308eff9043&ref_=sbx__sbtcd2_asin_3_bkgd&pd_rd_w=9vNwZ&content-id=amzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a%3Aamzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_p=5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_r=CZFQ08S92QYR3VZ60AZS&pd_rd_wg=nYytB&pd_rd_r=21dac423-2255-41bc-b419-b89063fbd5eb,"https://m.media-amazon.com/images/I/6121CkyqTzL._AC_SR322,134_CB1169409_QL70_.jpg",75,排名进入前30；价格处于人民币等值¥57.60-¥180.00黄金区间；标题包含 cloud，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.3以上。
2026-06-29,amazon_us,product,best_sellers,Best Sellers Women Sandals,22,Project Cloud 100% Genuine Leather Platform Sandals Women Footwear - Wedge Chunky Slides for Women 2026 with Memory Foam Insole & Cork Footbed Womens Sandals (GreeceChunky),,4.2,$64.90,,,,,,https://www.amazon.com/Project-Cloud-Genuine-Platform-Footwear/dp/B0DPRGP6N6/ref=zg_bs_g_679425011_d_sccl_22/136-8502453-9160419?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81FRcaN2z8L._AC_UL600_SR600,400_.jpg",73,排名进入前30；评论数达到50以上；标题包含 cloud、platform、wedge，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.0以上。
2026-06-29,amazon_us,product,best_sellers,Best Sellers Women Sandals,15,"Goosecret Women's Comfortable Arch Support Walking Platform Sandals | Lightweight Chunky Slip-On Foam Slides with Adjustable Buckle, Sandals for Beach and Daily Wear",,4.4,$18.99,,,,,,https://www.amazon.com/Goosecret-Platform-Lightweight-Comfortable-Adjustable/dp/B0CZ75N4PP/ref=zg_bs_g_679425011_d_sccl_15/136-8502453-9160419?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61l3YNTRtgL._AC_UL600_SR600,400_.jpg",72,排名进入前30；标题包含 platform、comfort、arch support、beach，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；评分达到4.3以上。
