date,source,data_type,list_type,keyword,rank,title,price,rating,review_count,likes,comments,views,published_at,competition_count,product_url,image_url,hot_score,reason
2026-06-13,amazon_us,product,best_sellers,Best Sellers Women Sandals,10,shevalues Orthopedic Sandals for Women Arch Support Recovery Flip Flops Pillow Soft Summer Beach Shoes,,4.3,$16.18,,,,,,https://www.amazon.com/Orthotic-Pillow-Recovery-Sandals-Support/dp/B09LC836QG/ref=zg_bs_g_679425011_d_sccl_10/139-1633687-9268137?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61o9ArJVVsL._AC_UL600_SR600,400_.jpg",87,排名靠前；标题包含 recovery、orthopedic、arch support、soft、beach、summer，符合美国女鞋舒适化趋势；orthopedic + arch support组合趋势加分；评分达到4.3以上。
2026-06-13,amazon_us,product,best_sellers,Best Sellers Women Sandals,5,Project Cloud 100% Genuine Leather Flat Sandals For Women 2026 Cork Footbed Womens Sandals with Memory Foam and arch support Vacation Essentials Slides for Women Footwear (Venita),,4.4,$34.90,,,,,,https://www.amazon.com/Project-Cloud-Comfortable-Essentials-Vacation/dp/B0CNYCN928/ref=zg_bs_g_679425011_d_sccl_5/139-1633687-9268137?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81HYWZcqucL._AC_UL600_SR600,400_.jpg",76,排名靠前；标题包含 cloud、arch support，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.3以上。
2026-06-13,amazon_us,product,new_releases,New Releases Women Sandals,7,shevalues Women's Flip Flops with Mild Arch Support Comfortable Lightweight Thong Sandals Summer Beach Walking Slides,,4.6,$9.99,,,,,,https://www.amazon.com/shevalues-Support-Comfortable-Lightweight-Sandals/dp/B0GVJY1R7G/ref=zg_bsnr_g_679425011_d_sccl_7/139-0271151-2280911?psc=1,"https://images-na.ssl-images-amazon.com/images/I/51Q0RjuKlEL._AC_UL600_SR600,400_.jpg",73,排名靠前；标题包含 comfort、arch support、beach、summer，符合美国女鞋舒适化趋势；评分达到4.6以上。
2026-06-13,amazon_us,product,best_sellers,Best Sellers Women Sandals,14,"Goosecret Women's Platform Sandals with Arch Support, Chunky Lightweight Foam Slip on Slides, Comfortable Summer Beach Sandals with Adjustable Buckle",,4.4,$18.99,,,,,,https://www.amazon.com/Goosecret-Platform-Lightweight-Comfortable-Adjustable/dp/B0CZ75N4PP/ref=zg_bs_g_679425011_d_sccl_14/139-1633687-9268137?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61l3YNTRtgL._AC_UL600_SR600,400_.jpg",72,排名进入前30；标题包含 platform、comfort、arch support、beach、summer，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；评分达到4.3以上。
2026-06-13,amazon_us,product,new_releases,New Releases Women Sandals,5,Project Cloud Platform Sandals Women - Memory Foam Insole Flip Flops and Lightweight Womens Sandals - Non-Slip Summer Thong Sandals for Women 2026 (ELEVATION),,4.3,$34.90,,,,,,https://www.amazon.com/Project-Cloud-Platform-Sandals-Women/dp/B0GTZM2X7L/ref=zg_bsnr_g_679425011_d_sccl_5/139-0271151-2280911?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61S9XAK1yGL._AC_UL600_SR600,400_.jpg",71,排名靠前；标题包含 cloud、platform、summer，符合美国女鞋舒适化趋势；评分达到4.3以上。
2026-06-13,amazon_us,product,best_sellers,Best Sellers Women Sandals,1,KuaiLu Flip Flops for Women with Arch Support Yoga Mat Comfortable Summer Beach Walking Thong Cushion Sandals Slip On Indoor Outdoor,,4.3,$13.99,,,,,,https://www.amazon.com/KuaiLu-Support-Comfortable-Walking-Sandals/dp/B0C5ZRQS2X/ref=zg_bs_g_679425011_d_sccl_1/139-1633687-9268137?psc=1,"https://images-na.ssl-images-amazon.com/images/I/710PdcSAm6L._AC_UL600_SR600,400_.jpg",70,排名靠前；标题包含 comfort、arch support、beach、summer，符合美国女鞋舒适化趋势；评分达到4.3以上。
2026-06-13,amazon_us,product,new_releases,New Releases Women Sandals,2,Project Cloud 100% Genuine Leather Sandals Women Dressy Beach Essentials Slides for Women Footwear - Lightweight with Memory Foam Insole Sandals for Women 2026 - Womens Slides,,4.1,$32.90,,,,,,https://www.amazon.com/Project-Cloud-Footwear-Lightweight-2026-Womens-MYKONOS-COGN/dp/B0GRXGJ1F2/ref=zg_bsnr_g_679425011_d_sccl_2/139-0271151-2280911?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81VyOZ-PbsL._AC_UL600_SR600,400_.jpg",70,排名靠前；标题包含 cloud、beach，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.0以上。
2026-06-13,amazon_us,product,search,women slides,9,PUMA,¥122.33,4.6,PUMA,,,,,,https://www.amazon.com/PUMA-Womens-Slide-Sandal-Black-White-Pale/dp/B0B6QKC2XL/ref=sr_1_5?dib=eyJ2IjoiMSJ9.wrqHnvIFpzxZDCy1gVq3fwKhCwBY2_ePNO7BevS9SkszoRfzsv9TNqj_XN20-rILWfThypTj5Jh0JAPnDW2IYITAxGfoIGq-LcVhrw-GTXQ_gUjgdqJ68DcKusTdpJHpzE6SopkcnIOTGN8Td_QiE94_zxpB_p9Pa1mgcg25UxR70MND4D0z2Fiao_lkVQiQ97o_FVP0VDvz8nO2gHrCHTHivHb3YeR5LrjBaGqtLEWuDzBfXVEFONMvlXERvUjdVV4QlESt7h5ugDu0QOpV68HGfTDWX0FTmsU4FY_KGnY.jHQalOaR7s3Cbidyf_dh1_qN7_n2QzBTteDJdsxedG0&dib_tag=se&keywords=women+slides&qid=1781345924&sr=8-5,https://m.media-amazon.com/images/I/41vASSR+XuL._AC_UL320_.jpg,70,排名靠前；价格处于人民币等值¥57.60-¥180.00黄金区间；评分达到4.6以上。
2026-06-13,amazon_us,product,best_sellers,Best Sellers Women Sandals,26,Project Cloud 100% Genuine Leather Flat Sandals for Women 2026 Comfortable Beach Essentials Womens Sandals Memory Foam Vacation Essentials Slides for Women Footwear (Santorini),,4.3,$49.90,,,,,,https://www.amazon.com/Project-Cloud-Comfortable-Essentials-Santorini/dp/B0DQF8F5XV/ref=zg_bs_g_679425011_d_sccl_26/139-1633687-9268137?psc=1,"https://images-na.ssl-images-amazon.com/images/I/919i6rcKDKL._AC_UL600_SR600,400_.jpg",69,排名进入前30；标题包含 cloud、comfort、beach，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.3以上。
2026-06-13,amazon_us,product,new_releases,New Releases Women Sandals,14,"Project Cloud Genuine Leather Women’s Sandals – Thong Flip Flops with Plush Soft Insole, Arch Support & Non Slip Outsole – Comfortable Beach & Summer Slides",,4.0,$49.90,,,,,,https://www.amazon.com/Project-Cloud-Genuine-Leather-Sandals/dp/B0GHT63G3W/ref=zg_bsnr_g_679425011_d_sccl_14/139-0271151-2280911?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71Da9eEAVQL._AC_UL600_SR600,400_.jpg",69,排名进入前30；标题包含 cloud、comfort、arch support、soft、beach、summer，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.0以上。
