date,source,data_type,list_type,keyword,rank,title,price,rating,review_count,likes,comments,views,published_at,competition_count,product_url,image_url,hot_score,reason
2026-06-14,amazon_us,product,search,platform sandals women,1,DREAM PAIRS Women's Platform Water Sandals Adjustable Lightweight Waterproof Summer Beach Wedge Chunky Sandals DREAM PAIRS Women's Platform Water Sandals Adj…,¥287.93,4.5,,,,,,,https://aax-us-east-retail-direct.amazon.com/x/c/JN504GXfOOiZQ8rRIMuclygAAAGexdifxwEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDIgICCr5lWu/clv1c_ek-YBYHXFcbWDn2nI7dsJ16WpAySuUaBObyzKFbmHqOMspjkFaHXRNb5Y_JQ-EbMxpG3oxgOoa3oTkQBlmkQvYRCwnNZysm0eY19jsmFmsRVRwnaZlzU_JF66voUltNwsJxaCXRPsI3awgjgKRpT3pXbqa28llbgAtL6t2_qb4Uccyf1s9qPoM0ite0xjBToHJhIuYM_B-eplGewMELomvyz103PrOaExf-WjC72tpzBOzfowwPuf5SjPUUw8zurB43aO_XarfOjddVAQ2tUXeuLeAas8i5-JjiT1It78WVC_Os0Za_spGvOAvVN0AUGIsUZlg_Hoy08Lr8OUK3mUpFkibQ0bJpkBJZP9qnqOiYEIrVSqcoAlglHnbYNuEUFCvpuZjJmvY30yLRKFi60Hbrxt4j2G_thdMMftapgWW_rPlaFRZhrcrwjn_yLurNoWNO9n0U8MHfMPcj5Y80o-w7mpQy7VB5Ac1xZDe1bBF--wBllr2ZlubFvPbRF-uMgkdT0TvC78sDT8nn__HrVI7_ObC5UBrAW5yFKZB8J0_Z0LsA6ylbjcETuVQSCXOiZ4WmIXRAhTJDmoryYirgQg7xhHsebT8IR0PJ-XYhLLXolZ-LNXlb46lkVJ6ZHkvnhE3Uzx84wMCYUOq80_8K56pZ9fv1-PcTy5TEzOq5POMAkgV9dzk-KFMPiIuL0weHRsHYNffTdaJBsfBHMHz1BW5Rhy4kgT3bqGu01ELf1fuxAm566aZ4_KZgcgMnpJMvYWPa9phBlvmxCxgKPbCgGYWJkC2y3fmvVP6BYCsmI3yTz_WdC20kfPuisX7uUbEnt8-L6Nw03X9NiHQNi0p7_gr7D23hO8BIUaLWq8mGKsGemYfCUP4JMCwDh_ZpkVdpTkGX2wSxlYH6UDZg6wBanb6Qkwy_LGq6U6RiiA8IIqM8KhNf2MSq2lB1NZkcCF37XmXkV_s_juYPXZ0YWgPiLQHZsyUJrpO6oMMLrO2HJfOv1bdlqitE1Gojio57yUn3IRXENNGKaA2pU702IE5RQU9ZB-A_IbnHaurSmfCJpUX11mKW8Lnwy6WND4gxraUl2t4QvC8e5ltkqEsso9yyLRYpKesyQNeLURt5yxVM54wNQsQAlTdAFrJ1Woh1BKLaH8b2NLqia-2tF7s5-zyz4yBgXKzSoV_txWT9nONGjIkAiEEXLcggRrUvLWAs82q9syI3_IvFnJpN-C-lMxgHBaL-r63cgNiQDeaMmU5Wxuq4TqvnL41t4AyrNVwKwlwuY_NA7AtV36fWvktvtTDbIEk1RnZomleRk2_0fUXHPoSfF8g1a2JfhUPwT_64ZlxYRBiimzDHG_JkR0SEpDLzN9LI8mKFlJrKeZj6qOqgV-Tv3WAici4zfmgqNb1NLdCTTBGDfqiinIcAlOZ-IYzF7Qfi8rfgVBRCwrlr241B3XmNbuujGW-gu4Xx_boFNITp1gMV3JO9uwCAB2q0DwYmCatedbN5lss3Y2ofZ_EhdLL4slbxLl1-oIF6FafC-gs6_lSL5olaY8hbnqNQjmNuTZPEwpIk-Pyi0yg8CGzXewhkhCDaN6Ao5MnR7lMs9HyJaaVFpvfOT5QOQvdPNOiNZarUB340SXGxwunQx5HU/https://www.amazon.com/gp/aw/d/B0G1RGBLGG/?_encoding=UTF8&pd_rd_plhdr=t&hsa_cr_id=0&qid=1781435768&sr=1-1-9e67e56a-6f64-441f-a281-df67fc737124&i=aps&aref=UYhlccojK2&ref_=sbx__sbtcd_asin_0_bkgd&pd_rd_w=OpKub&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=GYJC1G45FXSN569W7G4M&pd_rd_wg=3ieOY&pd_rd_r=761beada-0772-4bcd-b35e-017150974e4b,"https://m.media-amazon.com/images/I/61ERVtfZurL._AC_SR160,134_CB1169409_QL70_.jpg",79,排名靠前；价格处于人民币等值¥180.00-¥288.00区间；标题包含 platform、beach、summer、wedge，符合美国女鞋舒适化趋势；评分达到4.3以上。
2026-06-14,amazon_us,product,best_sellers,Best Sellers Women Sandals,11,shevalues Orthopedic Sandals for Women Arch Support Recovery Flip Flops Pillow Soft Summer Beach Shoes,,4.3,$16.18,,,,,,https://www.amazon.com/Orthotic-Pillow-Recovery-Sandals-Support/dp/B09LC836QG/ref=zg_bs_g_679425011_d_sccl_11/131-4403173-6342812?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61o9ArJVVsL._AC_UL600_SR600,400_.jpg",77,排名进入前30；标题包含 recovery、orthopedic、arch support、soft、beach、summer，符合美国女鞋舒适化趋势；orthopedic + arch support组合趋势加分；评分达到4.3以上。
2026-06-14,amazon_us,product,best_sellers,Best Sellers Women Sandals,5,Project Cloud 100% Genuine Leather Flat Sandals For Women 2026 Cork Footbed Womens Sandals with Memory Foam and arch support Vacation Essentials Slides for Women Footwear (Venita),,4.4,$34.90,,,,,,https://www.amazon.com/Project-Cloud-Comfortable-Essentials-Vacation/dp/B0CNYCN928/ref=zg_bs_g_679425011_d_sccl_5/131-4403173-6342812?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81HYWZcqucL._AC_UL600_SR600,400_.jpg",76,排名靠前；标题包含 cloud、arch support，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.3以上。
2026-06-14,amazon_us,product,new_releases,New Releases Women Sandals,6,shevalues Women's Flip Flops with Mild Arch Support Comfortable Lightweight Thong Sandals Summer Beach Walking Slides,,4.6,$9.99,,,,,,https://www.amazon.com/shevalues-Support-Comfortable-Lightweight-Sandals/dp/B0GVJY1R7G/ref=zg_bsnr_g_679425011_d_sccl_6/140-0258390-4937878?psc=1,"https://images-na.ssl-images-amazon.com/images/I/51Q0RjuKlEL._AC_UL600_SR600,400_.jpg",73,排名靠前；标题包含 comfort、arch support、beach、summer，符合美国女鞋舒适化趋势；评分达到4.6以上。
2026-06-14,amazon_us,product,best_sellers,Best Sellers Women Sandals,16,"Goosecret Women's Platform Sandals with Arch Support, Chunky Lightweight Foam Slip on Slides, Comfortable Summer Beach Sandals with Adjustable Buckle",,4.4,$18.99,,,,,,https://www.amazon.com/Goosecret-Platform-Lightweight-Comfortable-Adjustable/dp/B0CZ75N4PP/ref=zg_bs_g_679425011_d_sccl_16/131-4403173-6342812?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61l3YNTRtgL._AC_UL600_SR600,400_.jpg",72,排名进入前30；标题包含 platform、comfort、arch support、beach、summer，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；评分达到4.3以上。
2026-06-14,amazon_us,product,new_releases,New Releases Women Sandals,5,Project Cloud Platform Sandals Women - Memory Foam Insole Flip Flops and Lightweight Womens Sandals - Non-Slip Summer Thong Sandals for Women 2026 (ELEVATION),,4.4,$34.90,,,,,,https://www.amazon.com/Project-Cloud-Platform-Sandals-Women/dp/B0GTZM2X7L/ref=zg_bsnr_g_679425011_d_sccl_5/140-0258390-4937878?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61S9XAK1yGL._AC_UL600_SR600,400_.jpg",71,排名靠前；标题包含 cloud、platform、summer，符合美国女鞋舒适化趋势；评分达到4.3以上。
2026-06-14,amazon_us,product,best_sellers,Best Sellers Women Sandals,1,KuaiLu Flip Flops for Women with Arch Support Yoga Mat Comfortable Summer Beach Walking Thong Cushion Sandals Slip On Indoor Outdoor,,4.3,$13.99,,,,,,https://www.amazon.com/KuaiLu-Support-Comfortable-Walking-Sandals/dp/B0C5ZRQS2X/ref=zg_bs_g_679425011_d_sccl_1/131-4403173-6342812?psc=1,"https://images-na.ssl-images-amazon.com/images/I/710PdcSAm6L._AC_UL600_SR600,400_.jpg",70,排名靠前；标题包含 comfort、arch support、beach、summer，符合美国女鞋舒适化趋势；评分达到4.3以上。
2026-06-14,amazon_us,product,new_releases,New Releases Women Sandals,2,Project Cloud 100% Genuine Leather Sandals Women Dressy Beach Essentials Slides for Women Footwear - Lightweight with Memory Foam Insole Sandals for Women 2026 - Womens Slides,,4.1,$32.90,,,,,,https://www.amazon.com/Project-Cloud-Footwear-Lightweight-2026-Womens-MYKONOS-COGN/dp/B0GRXGJ1F2/ref=zg_bsnr_g_679425011_d_sccl_2/140-0258390-4937878?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81VyOZ-PbsL._AC_UL600_SR600,400_.jpg",70,排名靠前；标题包含 cloud、beach，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.0以上。
2026-06-14,amazon_us,product,search,women slides,6,PUMA,¥122.33,4.6,PUMA,,,,,,https://www.amazon.com/PUMA-Womens-Slide-Sandal-Black-White-Pale/dp/B0B6QKC2XL/ref=sr_1_5?dib=eyJ2IjoiMSJ9._KS9xv2PSxs4p0s5tNQUop12JppxBTHI9OeicpSnPHQDgwrvqyOyn6ytvbO837570UKlqBahHO06ZnMUoy5WGa57NWppMqIjonXX90sooHe0jmV8loKYAgi4oBXa36crJ4NFuCvJNrkVGl8kXQP043hk5bnHHyQPqgiKUe0WMfR8hi-zMGLSLpDy0pyJVkUDFhoTp6gYTujrEUR4yQCbq7Fmsri5awO89hwmH3FBhTesY8kQfkyxdomGDNOmwOkpzPpqX2h7E7QpSfPR0DZtsMHGfTDWX0FTmsU4FY_KGnY.luQU8DvAz_UEqnJYdK16kgHXyZL85yHO4swIxhlQenY&dib_tag=se&keywords=women+slides&qid=1781435768&sr=8-5,https://m.media-amazon.com/images/I/41vASSR+XuL._AC_UL320_.jpg,70,排名靠前；价格处于人民币等值¥57.60-¥180.00黄金区间；评分达到4.6以上。
2026-06-14,amazon_us,product,new_releases,New Releases Women Sandals,14,"Project Cloud Genuine Leather Women’s Sandals – Thong Flip Flops with Plush Soft Insole, Arch Support & Non Slip Outsole – Comfortable Beach & Summer Slides",,4.0,$49.90,,,,,,https://www.amazon.com/Project-Cloud-Genuine-Leather-Sandals/dp/B0GHT63G3W/ref=zg_bsnr_g_679425011_d_sccl_14/140-0258390-4937878?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71Da9eEAVQL._AC_UL600_SR600,400_.jpg",69,排名进入前30；标题包含 cloud、comfort、arch support、soft、beach、summer，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.0以上。
