date,source,data_type,list_type,keyword,rank,title,price,rating,review_count,likes,comments,views,published_at,competition_count,product_url,image_url,hot_score,reason
2026-07-17,amazon_us,product,search,platform sandals women,23,"UBFEN Womens Comfortable Walking Sandals with Cushioned Sole | Non-Slip Rocker Bottom, Arch Support, Adjustable Straps, Lightweight Water Sport Platform Summer UBFEN Womens Comfortable Walking Sandals with Cushioned Sole | Non-Slip Rocker Bottom, Arch Suppor…",¥244.73,4.4,4.4,,,,,,https://aax-us-east-retail-direct.amazon.com/x/c/JGnoH6XCRUptQLtj6FL74_4AAAGfbjop7AEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDIgICCqSh5k/clv1c_ek-wBIH3bcba3VYJY5voPx8yPLMH65Q0_h5s_q8OpdkJWWneqhM9E9eFlYwg6CpFLp4wr7_r1VIq8rjb4J4UtIZDzC8Sdt7VaYx9j8nixMznSy1z4guCx23hxIEExvKXlRGC7oJiMBDAKHEkj_saxMer4NyQnpXrl-twxTac_E5fm2kOKg-M79puUMDTQluBEfzp1u3bGxTKufwdxejD_6Fd_FclDAb-kLKXvVOsAm_cbLlKg0fVTLRee8-IB5-YHkQKJ_2-IUternsIdsRle1uzIdYq4-4cfE6w4Pd1OhYgel6tVoiwCkX1sqmNTfkSUT4h1KQgsoQlvQNl3iKAX-0svtEt6AkvUsAVytqEQHTK3teprqygEWrcgk_0cbJInbmBd-bemK4F3JRB6Q2kW0erXXYNUI-lvtnb4DX_Zf5f-RpTgDto04XCsftN8cZkR9DL4GsxYreA4oabJ5V8-tchaxi5p-H9_1zgX5-z0FcO4Uteo7-hmACBnYOTLEtEVccA87OLwo3CV_vWCh8lO0_Aa46-GZaZ5D2qhYa0dMSrr3b4YY-aXdAu3yBcEAlj7-LHb4LszPfdkqOcEqgbSXM8vYTLSm4dmxYQqIL1_v0iBiICSfdYOn56-g_qZIbhKk2Md__PFHc_VemrTyx7xGfzFCesE7ABHL8jR3NEFckvUylUf7CYXuIom0TcGfKfeoyycqSWo1djjxkXbY48MrvZ643ZS95Kwce2pT-2tBy7WDOSg72I6HePvyO5iAe6jX00bm_LjoM4glRFy8wvh7toQmkBw7t2kAtAf_LMZYODUZLFqBU8_YPAKB5Gbnb_5m1piKWAsM3ci2DmYYdr_kqGrMk95IS21P9YZ2tigcyxGusiuJmCCn5Yrcf_fP1U-8sijwcoEPxjX6PATIgwRha37HlqJB3tf9Qpdlp7unZXczcjTHfWY8SIPsUiLOWNQ-Wa2Zp-_Cv76rIKuVpVi1sUqowXKkeTGnqJWeVdDXTk3gXYKGdBGZ5m-S5IaHpWFlPsQutIOWd7UwTEzTl1HZCTv-A1Qgg_vaNDBslD5aN6iPRegyuJx--JE_VRSzJzhGHClepwP7FQQIonJwQqXofBr-OrGHOU6QcFoG9NzSFg-9rsME3sjPcSm6Vutm_pAwrAFEyy7AFUnVMG8KxR6O07Sp8lQQN0N-XMrRCPiUV47VuOu4lDWN3nt7jmv8Y2LlXlKUI8Dsr31ACB7H8NvIZXQiyBqmr-9xJQP-LMM7xZ_9CzShYOxsvNXu7Wbfq0swub91f_fRWpYl_-8TR_AZtvGDyAKRFkfG0UKMgbCAmMf5rqmSEPR4nBfAyDssEhbMP_R6VvZByvNv3pEbdIFn1TwvLsBlBTMXP6M2wBt7fxgMLDZ49_4lBTewBkMflXdRA2igTQ3dE6b0cpcK7DKQeJueSrv-W3kDL8Fq0WMR1XtzbqLPvsDZoY_Bk3lhemowos-p-88GfpCuC4JQYSCZfGeqikBMWBxTvICvxVy53GrxeieiDTglLCejxHaeUT32gqnnx9n4WdDvU_kV0YBf0Ad-e1mfEGPXoQp2cEd8dWn_vTCl1Fhl5XrfxF9RP2tKdSrHVGWq9ToO_7Gl2iQaaSlabrYTbFxN8yohYgLUIc3M5Yghdho0ocSG5hHOAe-e24asr1F6Si9vgeT8GeX_lqAUjJPWCi4Gdr5drqxH0YjCcD7B2fWrgiZbTgS7HXA3EsBmjj9GXaGyY/https://www.amazon.com/gp/aw/d/B0F5MT889D/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=46f2007f427cdba2b3d11a9183455d43&hsa_cr_id=0&qid=1784260733&sr=1-7-f02f01d6-adaf-4bef-9a7c-29308eff9043&ref_=sbx__sbtcd2_asin_6_bkgd&pd_rd_w=6TGpN&content-id=amzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a%3Aamzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_p=5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_r=BAJXQNERQ4MJBAW0KNG2&pd_rd_wg=qPx5K&pd_rd_r=20363c8a-e0f9-47ff-a94b-d1b9d19f6395,"https://m.media-amazon.com/images/I/716lvrr5bHL._AC_SR322,134_CB1169409_QL70_.jpg",82,排名进入前30；价格处于人民币等值¥180.00-¥288.00区间；标题包含 platform、comfort、arch support、summer，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；评分达到4.3以上。
2026-07-17,amazon_us,product,new_releases,New Releases Women Sandals,27,COFACE Womens Rhinestone Orthopedic Flip Flops Lightweight Yoga Mat Thick Cushioned Recovery Walking Thong Sandals Adjustable Summer Beach Slippers with Comfortable Plantar Fasciitis Arch Support,,4.6,$32.99,,,,,,https://www.amazon.com/COFACE-Rhinestone-Orthopedic-Cushioned-Comfortable/dp/B0GVM9RTK4/ref=zg_bsnr_g_679425011_d_sccl_27/140-9879545-5231544?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81vO0UeScgL._AC_UL600_SR600,400_.jpg",80,排名进入前30；标题包含 recovery、orthopedic、comfort、arch support、beach、summer，符合美国女鞋舒适化趋势；orthopedic + arch support组合趋势加分；评分达到4.6以上。
2026-07-17,amazon_us,product,search,women slides,11,Women's Sandals with Arch Support Lightweight EVA Comfortable Slides Summer Beach Sandals with Adjustable Buckle,¥129.53,4.6,"Price, product page $17.99 $ 17 . 99 List: $24.99 List: $24.99 $24.99",,,,,,https://www.amazon.com/SKETOE-Sandals-Lightweight-Comfortable-Adjustable/dp/B0GX148HM4/ref=sr_1_3?dib=eyJ2IjoiMSJ9.RrPumS3Ni8XWS9mPWZVEoK5Bq0-2hyRCkWxmbU3-9nozGv4H7NoifoMiv2JYov8uyHyBuyhKhKHWyH9mKEi1ULRynwvG0C3gXq6Ezl5vVkS3nuov7o4Cjc1SusQEL-AWS3TarMLOXrPrx9dD9-7_CWtxwbCbAsHKBfigFXwCuQhwv0-nXSFKmSlYXMe8UVa3p6VI0riXy1nNbf1OW77qaTFvcOVbcbH5xizuyLL0Hf_sA-5gIkxLh7R63-46BsGxqiteaoiwSNn2atZET_e73sHGfTDWX0FTmsU4FY_KGnY.VhROPFczQRQzxtJmj61l-0SBK8LwJ5CaEPwIH5RRKCU&dib_tag=se&keywords=women+slides&qid=1784260733&sr=8-3,https://m.media-amazon.com/images/I/71-pwn+I+2L._AC_UL320_.jpg,78,排名进入前30；价格处于人民币等值¥57.60-¥180.00黄金区间；标题包含 comfort、arch support、beach、summer，符合美国女鞋舒适化趋势；评分达到4.6以上。
2026-07-17,amazon_us,product,best_sellers,Best Sellers Women Sandals,24,shevalues Orthopedic Sandals for Women Arch Support Recovery Flip Flops Pillow Soft Summer Beach Shoes,,4.3,$16.18,,,,,,https://www.amazon.com/Orthotic-Pillow-Recovery-Sandals-Support/dp/B09LC836QG/ref=zg_bs_g_679425011_d_sccl_24/147-5945619-6714637?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61o9ArJVVsL._AC_UL600_SR600,400_.jpg",77,排名进入前30；标题包含 recovery、orthopedic、arch support、soft、beach、summer，符合美国女鞋舒适化趋势；orthopedic + arch support组合趋势加分；评分达到4.3以上。
2026-07-17,amazon_us,product,best_sellers,Best Sellers Women Sandals,6,Project Cloud 100% Genuine Leather Flat Sandals For Women 2026 Cork Footbed Womens Sandals with Memory Foam and arch support Vacation Essentials Slides for Women Footwear (Venita),,4.4,$29.90,,,,,,https://www.amazon.com/Project-Cloud-Comfortable-Essentials-Vacation/dp/B0CNYDF946/ref=zg_bs_g_679425011_d_sccl_6/147-5945619-6714637?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61PPWwEkHDL._AC_UL600_SR600,400_.jpg",76,排名靠前；标题包含 cloud、arch support，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.3以上。
2026-07-17,amazon_us,product,search,platform sandals women,25,"UBFEN Womens Low Wedge Sandals Comfortable Walking Slides with Arch Support | Soft Cushioned Insoles 2 Adjustable Straps Slip On for Summer, Casual, Home, Quick Outings UBFEN Womens Low Wedge Sandals Comfortable Walking Slides with Arch Support | Soft Cushioned Insoles 2 Ad…",¥244.66,4.6,4.6,,,,,,https://aax-us-east-retail-direct.amazon.com/x/c/JGnoH6XCRUptQLtj6FL74_4AAAGfbjop7AEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDIgICCqSh5k/clv1c_ek-wBIH3bcba3VYJY5voPx8yPLMH65Q0_h5s_q8OpdkJWWneqhM9E9eFlYwg6CpFLp4wr7_r1VIq8rjb4J4UtIZDzC8Sdt7VaYx9j8nixMznSy1z4guCx23hxIEExvKXlRGC7oJiMBDAKHEkj_saxMer4NyQnpXrl-twxTac_E5fm2kOKg-M79puUMDTQluBEfzp1u3bGxTKufwdxejD_6Fd_FclDAb-kLKXvVOsAm_cbLlKg0fVTLRee8-IB5-YHkQKJ_2-IUternsIdsRle1uzIdYq4-4cfE6w4Pd1OhYgel6tVoiwCkX1sqmNTfkSUT4h1KQgsoQlvQNl3iKAX-0svtEt6AkvUsAVytqEQHTK3teprqygEWrcgk_0cbJInbmBd-bemK4F3JRB6Q2kW0erXXYNUI-lvtnb4DX_Zf5f-RpTgDto04XCsftN8cZkR9DL4GsxYreA4oabJ5V8-tchaxi5p-H9_1zgX5-z0FcO4Uteo7-hmACBnYOTLEtEVccA87OLwo3CV_vWCh8lO0_Aa46-GZaZ5D2qhYa0dMSrr3b4YY-aXdAu3yBcEAlj7-LHb4LszPfdkqOcEqgbSXM8vYTLSm4dmxYQqIL1_v0iBiICSfdYOn56-g_qZIbhKk2Md__PFHc_VemrTyx7xGfzFCesE7ABHL8jR3NEFckvUylUf7CYXuIom0TcGfKfeoyycqSWo1djjxkXbY48MrvZ643ZS95Kwce2pT-2tBy7WDOSg72I6HePvyO5iAe6jX00bm_LjoM4glRFy8wvh7toQmkBw7t2kAtAf_LMZYODUZLFqBU8_YPAKB5Gbnb_5m1piKWAsM3ci2DmYYdr_kqGrMk95IS21P9YZ2tigcyxGusiuJmCCn5Yrcf_fP1U-8sijwcoEPxjX6PATIgwRha37HlqJB3tf9Qpdlp7unZXczcjTHfWY8SIPsUiLOWNQ-Wa2Zp-_Cv76rIKuVpVi1sUqowXKkeTGnqJWeVdDXTk3gXYKGdBGZ5m-S5IaHpWFlPsQutIOWd7UwTEzTl1HZCTv-A1Qgg_vaNDBslD5aN6iPRegyuJx--JE_VRSzJzhGHClepwP7FQQIonJwQqXofBr-OrGHOU6QcFoG9NzSFg-9rsME3sjPcSm6Vutm_pAwrAFEyy7AFUnVMG8KxR6O07Sp8lQQN0N-XMrRCPiUV47VuOu4lDWN3nt7jmv8Y2LlXlKUI8Dsr31ACB7H8NvIZXQiyBqmr-9xJQP-LMM7xZ_9CzShYOxsvNXu7Wbfq0swub91f_fRWpYl_-8TR_AZtvGDyAKRFkfG0UKMgbCAmMf5rqmSEPR4nBfAyDssEhbMP_R6VvZByvNv3pEbdIFn1TwvLsBlBTMXP6M2wBt7fxgMLDZ49_4lBTewBkMflXdRA2igTQ3dE6b0cpcK7DKQeJueSrv-W3kDL8Fq0WMR1XtzbqLPvsDZoY_Bk3lhemowos-p-88GfpCuC4JQYSCZfGeqikBMWBxTvICvxVy53GrxeieiDTglLCejxHaeUT32gqnnx9n4WdDvU_kV0YBf0Ad-e1mfEGPXoQp2cEd8dWn_vTCl1Fhl5XrfxF9RP2tKdSrHVGWq9ToO_7Gl2iQaaSlabrYTbFxN8yohYgLUIc3M5Yghdho0ocSG5hHOAe-e24asr1F6Si9vgeT8GeX_lqAUjJPWCi4Gdr5drqxH0YjCcD7B2fWrgiZbTgS7HXA3EsBmjj9GXaGyY/https://www.amazon.com/gp/aw/d/B0G6Y632DZ/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=46f2007f427cdba2b3d11a9183455d43&hsa_cr_id=0&qid=1784260733&sr=1-9-f02f01d6-adaf-4bef-9a7c-29308eff9043&ref_=sbx__sbtcd2_asin_8_bkgd&pd_rd_w=6TGpN&content-id=amzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a%3Aamzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_p=5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_r=BAJXQNERQ4MJBAW0KNG2&pd_rd_wg=qPx5K&pd_rd_r=20363c8a-e0f9-47ff-a94b-d1b9d19f6395,"https://m.media-amazon.com/images/I/71oWoP-QXlL._AC_SR322,134_CB1169409_QL70_.jpg",75,排名进入前30；价格处于人民币等值¥180.00-¥288.00区间；标题包含 comfort、arch support、soft、summer、wedge，符合美国女鞋舒适化趋势；评分达到4.6以上。
2026-07-17,amazon_us,product,best_sellers,Best Sellers Women Sandals,14,"Goosecret Women's Comfortable Arch Support Walking Platform Sandals | Lightweight Chunky Slip-On Foam Slides with Adjustable Buckle, Sandals for Beach and Daily Wear",,4.3,$18.98,,,,,,https://www.amazon.com/Goosecret-Platform-Lightweight-Comfortable-Adjustable/dp/B0CZ75N4PP/ref=zg_bs_g_679425011_d_sccl_14/147-5945619-6714637?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61l3YNTRtgL._AC_UL600_SR600,400_.jpg",72,排名进入前30；标题包含 platform、comfort、arch support、beach，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；评分达到4.3以上。
2026-07-17,amazon_us,product,search,platform sandals women,9,Wedge Sandals for Women Bohemia Flower Open Toe Gladiator Platform Roman High Heel Casual Summer Dressy Beach Womens Sandals,¥338.33,4.5,"Price, product page $46.99 $ 46 . 99",,,,,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MDUxMjQzNTEzMTAxMjc4OjE3ODQyNjA3MzM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDY5OTIwNjgyNzIwMjo6Mzo6&url=%2FWOJWSKI-Sandals-Gladiator-Platform-White-M6%2Fdp%2FB0DTP3HZGX%2Fref%3Dsxin_19_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.44acafb9-9a42-418c-a96e-4e3ed427e46e%253Aamzn1.sym.44acafb9-9a42-418c-a96e-4e3ed427e46e%26cv_ct_cx%3Dplatform%2Bsandals%2Bwomen%26keywords%3Dplatform%2Bsandals%2Bwomen%26pd_rd_i%3DB0DTP3HZGX%26pd_rd_r%3D20363c8a-e0f9-47ff-a94b-d1b9d19f6395%26pd_rd_w%3D4kzRQ%26pd_rd_wg%3DqPx5K%26pf_rd_p%3D44acafb9-9a42-418c-a96e-4e3ed427e46e%26pf_rd_r%3DBAJXQNERQ4MJBAW0KNG2%26qid%3D1784260733%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-4a82bf2c-99de-49d4-8c6e-1b9c06d4b176-spons%26aref%3DXrI6tUgJcI%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=XrI6tUgJcI,https://m.media-amazon.com/images/I/618abzBNYHL._AC_UL320_.jpg,72,排名靠前；价格高于人民币等值¥288.00；标题包含 platform、beach、summer、wedge，符合美国女鞋舒适化趋势；评分达到4.3以上。
2026-07-17,amazon_us,product,search,platform sandals women,37,"Women's Platform Clogs Sandals Cork Footbed with Comfort Double Buckles, Summer Platform Slides Mules, Summer Beach Comfort Wide Widths Availab",¥183.53,4.4,200+ bought in past month,,,,,,https://www.amazon.com/BiuYorBTY-Platform-Sandals-Footbed-Comfort/dp/B0DZ1NT6L9/ref=sr_1_20?dib=eyJ2IjoiMSJ9.3zo6vUgTuNV2_oDBDGXaTYWIGlLamcjzppi-a69EdVue2zjbOOgkTU8i_DqcCjCusJaeAHAQ4npXapEbK0L9aZmQ_yCQzgaFKRhvl2_eSFgpJ2XRLe7nsNxB-GcOfhhuOtEIiPP7KgJ6koOK3Df1kLBWhYx7Cxl27FTXvEdlBMAiQjT6IQ6tfwfdu9fgT2nfZI4GIkQYjRObTOsPGJz6XY7LxSACdEz5jW2DNA-JdxCXQKa5_9TGyiDvKpQODdm5P8jtevm0f5ZoWt7g6bWqd7xDaKMpA3B-w7cleKIKsR8.5xsHN-n33bqd-Tcfgg1RnaaJ9qqEj0SCHXkKJrRq27k&dib_tag=se&keywords=platform+sandals+women&qid=1784260733&sr=8-20,https://m.media-amazon.com/images/I/716g0SFJuTL._AC_UL320_.jpg,72,排名进入前50；评论数达到50以上；价格处于人民币等值¥180.00-¥288.00区间；标题包含 platform、comfort、beach、summer，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；评分达到4.3以上。
2026-07-17,amazon_us,product,new_releases,New Releases Women Sandals,5,Project Cloud Platform Sandals Women - Memory Foam Insole Flip Flops and Lightweight Womens Sandals - Non-Slip Summer Thong Sandals for Women 2026 (ELEVATION),,4.4,$39.90,,,,,,https://www.amazon.com/Project-Cloud-Platform-Sandals-Women/dp/B0GTZM2X7L/ref=zg_bsnr_g_679425011_d_sccl_5/140-9879545-5231544?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61E9Kh8oh9L._AC_UL600_SR600,400_.jpg",71,排名靠前；标题包含 cloud、platform、summer，符合美国女鞋舒适化趋势；评分达到4.3以上。
