date,source,data_type,list_type,keyword,rank,title,price,rating,review_count,likes,comments,views,published_at,competition_count,product_url,image_url,hot_score,reason
2026-06-17,amazon_us,product,search,women slides,7,shevalues Orthopedic Slide Sandals for Women with Arch Support Pillow Soft Recovery Slip on Sandals Lightweight Summer Cloud Slippers for Plantar Fasciitis shevalues Orthopedic Slide Sandals for Women with Arch Support Pillow Soft Recovery Slip on Sandals Lightweight…,¥115.13,4.3,4.3,,,,,,https://aax-us-east-retail-direct.amazon.com/x/c/JBWVqzCXSxq-kA_NxzB5OocAAAGe0bEjcAEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICBvjyQG/clv1c_ek-wBPXXVcba3DK2Z8p873dcuEa5bu8nyzkJjgNItZAFrAYAd6kDVpI_lSm7y1p6KfbVsxSY3MZ-raf6TRCbU2GkYh6Bw89PuGFtcNpknAwWeCE6UWu2EG6MornzrN9xJZkq3UTxTx8mHMy6d7rxkvJbpOn8dtXoBsf54xuKHUfe2WLw040nrM0Rg6n6nx-wqUZgzt1PAivkfVRk58hAk3sSl1MDLuT0trUuWnnrHtEemOC_Pm7C4ZTjm_z5w-VvuFiq7rwY6LDUWFxr1lJNa7Z3wz8A3lfNylBfdW9_jG977qEuvVgiSHb7Dz4b838cwHd6Pqg58xUkrZdH0yrKctoCS0EWbIXvno7FsRPlVlCB5KE8il1ff95-N6uzJNpsN0z3mc1VqpHO0ajwc6yUUZiDau-_pVtg5yutR9riz32E1NPnYwPkEJXCpf1NBepwQ9GLkdHWairjO6cGsxXWFtBnxm2PnYtUo27WMDumXsktkXAhpKLfGcNZdSFuILGeaRSkrzCMxYIjp7TCspSe--alCU4oF-zw1fI8TRvJNzkprTjnv6s_r6x0oYOc786KepwtcNml9iWHof_pkPXHwXCA9mi903KZlZ5QE615LgrbiG359B31zeH610Hgs9AYs0qQ83hva157gfbKBobNfSyejKsbrgSpuH8f05zgcMzNvsL7I58mfGC24A-xylWxbK1_G1RGBLNq3r1-gW-6qUmhxAxtBJiz-gJTNRumLmFLcmlDqp6dFN1H3FJGnyXZCU5XQpHyucFbliXJyXzrpiVML_2LnCOdtNDk-z7CO0Pu7cZI9BrWCtrNvZJQHlsXYbdFINAL7Zkp5nh0_yf5eBdiqO_uj6-KAWrrzVl805OIseCDcRjbInbzwfIhoOflNTZtpQG5c-fZvINHk1fyFs9BDRgrOg67pVD1BFJqg5aBIKhIypHITPdDfsrdZ6Lz8RSr1OVC7u2oegvHiiwds7ogVirZEWbnmP0grUA5gcHF5HjISX7IckbkbyifHFiojNkzGC6re6LeAZxe13z5WF22YEvYVmSJFbkrh2rxSDcpqanhjdAhF8l-BHoxxb3Bhx-jFe0l98rtaWctmWOk4fqZNTl4ZwTK9LvJUmIAfTomWaHZgCeIGNaHZYocdWG2hH0cCkuG9YGleFOPZlpgIYk08opvcheQRCdjLtT8dAGQHVdDgk_Qr4_zAGEzm9AUMwqxfwkiUsqpOltUPwrcJXFYqRv3-h2pM71D2JFs0o6csgM4OJJHbGYlZZMogw4hcdxg6SQ0Y3l2-NpUPEMsOXn3v_P7PyjtQBAzwDgsy7Xi5LDQ0Gv7z7Ufj6C0rT24s41kQ6bxoHvBJs1iSobDcCWqA4eDzb5hgPsn7f4eywpfW_O-OshgbxFbDc0jwamI0VcozrlAlFJKfTqU8owFTJ1e10KbJ9-vx3PwTWLTPZfk2HzeNxE6Zv4SlVkQmLnqaLrEJVL83ly5jbGpjr_zwKJVVcuuz6mqR01U7zb1lFHF76HWeVNrzBIy_CKnhyMxr7qn3rJIoVsCAnBF4HYCo6oA0bqA9oVWmu5770CwQ36Ypz9RHkXnnLO8Kgs__MJ6AupQecOaOBD9dPHBaLo1DuTC0r1hjEpk3IOEb89YFK2jmn_XNSWXr7_wX6_TunA5uAwVgt5SAA6TGesHHYEvs4rZVLCNB44W6y-i4SOp8HNRmOIoH4asB-s/https://www.amazon.com/gp/aw/d/B0BRX58B8J/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=7843bd7bf08f33add793cc1137991ae5&hsa_cr_id=0&qid=1781634507&sr=1-3-f02f01d6-adaf-4bef-9a7c-29308eff9043&ref_=sbx__sbtcd2_asin_2_bkgd&pd_rd_w=ZbXBs&content-id=amzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a%3Aamzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_p=5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_r=Z0G7E87Q99SMSRQWYGVQ&pd_rd_wg=HtrrD&pd_rd_r=0429a9b3-7057-4b27-b295-cf68a66cbbb9,"https://m.media-amazon.com/images/I/61Haar3YYzL._AC_SR322,134_CB1169409_QL70_.jpg",100,排名靠前；价格处于人民币等值¥57.60-¥180.00黄金区间；标题包含 cloud、recovery、orthopedic、arch support、soft、summer，符合美国女鞋舒适化趋势；orthopedic + arch support组合趋势加分；评分达到4.3以上。
2026-06-17,amazon_us,product,search,women slides,10,shevalues Orthopedic Slide Sandals for Women with Arch Support Pillow Soft Recovery Slip on Sandals Lightweight Summer Cloud Slippers for Plantar Fasciitis shevalues Orthopedic Slide Sandals for Women with Arch Support Pillow Soft Recovery Slip on Sandals Lightweight…,¥143.93,4.3,4.3,,,,,,https://aax-us-east-retail-direct.amazon.com/x/c/JBWVqzCXSxq-kA_NxzB5OocAAAGe0bEjcAEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICBvjyQG/clv1c_ek-wBPXXVcba3DK2Z8p873dcuEa5bu8nyzkJjgNItZAFrAYAd6kDVpI_lSm7y1p6KfbVsxSY3MZ-raf6TRCbU2GkYh6Bw89PuGFtcNpknAwWeCE6UWu2EG6MornzrN9xJZkq3UTxTx8mHMy6d7rxkvJbpOn8dtXoBsf54xuKHUfe2WLw040nrM0Rg6n6nx-wqUZgzt1PAivkfVRk58hAk3sSl1MDLuT0trUuWnnrHtEemOC_Pm7C4ZTjm_z5w-VvuFiq7rwY6LDUWFxr1lJNa7Z3wz8A3lfNylBfdW9_jG977qEuvVgiSHb7Dz4b838cwHd6Pqg58xUkrZdH0yrKctoCS0EWbIXvno7FsRPlVlCB5KE8il1ff95-N6uzJNpsN0z3mc1VqpHO0ajwc6yUUZiDau-_pVtg5yutR9riz32E1NPnYwPkEJXCpf1NBepwQ9GLkdHWairjO6cGsxXWFtBnxm2PnYtUo27WMDumXsktkXAhpKLfGcNZdSFuILGeaRSkrzCMxYIjp7TCspSe--alCU4oF-zw1fI8TRvJNzkprTjnv6s_r6x0oYOc786KepwtcNml9iWHof_pkPXHwXCA9mi903KZlZ5QE615LgrbiG359B31zeH610Hgs9AYs0qQ83hva157gfbKBobNfSyejKsbrgSpuH8f05zgcMzNvsL7I58mfGC24A-xylWxbK1_G1RGBLNq3r1-gW-6qUmhxAxtBJiz-gJTNRumLmFLcmlDqp6dFN1H3FJGnyXZCU5XQpHyucFbliXJyXzrpiVML_2LnCOdtNDk-z7CO0Pu7cZI9BrWCtrNvZJQHlsXYbdFINAL7Zkp5nh0_yf5eBdiqO_uj6-KAWrrzVl805OIseCDcRjbInbzwfIhoOflNTZtpQG5c-fZvINHk1fyFs9BDRgrOg67pVD1BFJqg5aBIKhIypHITPdDfsrdZ6Lz8RSr1OVC7u2oegvHiiwds7ogVirZEWbnmP0grUA5gcHF5HjISX7IckbkbyifHFiojNkzGC6re6LeAZxe13z5WF22YEvYVmSJFbkrh2rxSDcpqanhjdAhF8l-BHoxxb3Bhx-jFe0l98rtaWctmWOk4fqZNTl4ZwTK9LvJUmIAfTomWaHZgCeIGNaHZYocdWG2hH0cCkuG9YGleFOPZlpgIYk08opvcheQRCdjLtT8dAGQHVdDgk_Qr4_zAGEzm9AUMwqxfwkiUsqpOltUPwrcJXFYqRv3-h2pM71D2JFs0o6csgM4OJJHbGYlZZMogw4hcdxg6SQ0Y3l2-NpUPEMsOXn3v_P7PyjtQBAzwDgsy7Xi5LDQ0Gv7z7Ufj6C0rT24s41kQ6bxoHvBJs1iSobDcCWqA4eDzb5hgPsn7f4eywpfW_O-OshgbxFbDc0jwamI0VcozrlAlFJKfTqU8owFTJ1e10KbJ9-vx3PwTWLTPZfk2HzeNxE6Zv4SlVkQmLnqaLrEJVL83ly5jbGpjr_zwKJVVcuuz6mqR01U7zb1lFHF76HWeVNrzBIy_CKnhyMxr7qn3rJIoVsCAnBF4HYCo6oA0bqA9oVWmu5770CwQ36Ypz9RHkXnnLO8Kgs__MJ6AupQecOaOBD9dPHBaLo1DuTC0r1hjEpk3IOEb89YFK2jmn_XNSWXr7_wX6_TunA5uAwVgt5SAA6TGesHHYEvs4rZVLCNB44W6y-i4SOp8HNRmOIoH4asB-s/https://www.amazon.com/gp/aw/d/B0CP1Q2LZD/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=7843bd7bf08f33add793cc1137991ae5&hsa_cr_id=0&qid=1781634507&sr=1-6-f02f01d6-adaf-4bef-9a7c-29308eff9043&ref_=sbx__sbtcd2_asin_5_bkgd&pd_rd_w=ZbXBs&content-id=amzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a%3Aamzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_p=5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_r=Z0G7E87Q99SMSRQWYGVQ&pd_rd_wg=HtrrD&pd_rd_r=0429a9b3-7057-4b27-b295-cf68a66cbbb9,"https://m.media-amazon.com/images/I/61DiMZRO46L._AC_SR322,134_CB1169409_QL70_.jpg",100,排名靠前；价格处于人民币等值¥57.60-¥180.00黄金区间；标题包含 cloud、recovery、orthopedic、arch support、soft、summer，符合美国女鞋舒适化趋势；orthopedic + arch support组合趋势加分；评分达到4.3以上。
2026-06-17,amazon_us,product,search,women slides,5,shevalues Women's Comfort Sandals with Medium Arch Support Double Buckle Adjustable EVA Slides for Summer Beach shevalues Women's Comfort Sandals with Medium Arch Support Double Buckle Adjustable EVA Slides for S…,¥143.93,4.5,4.5,,,,,,https://aax-us-east-retail-direct.amazon.com/x/c/JBWVqzCXSxq-kA_NxzB5OocAAAGe0bEjcAEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICBvjyQG/clv1c_ek-wBPXXVcba3DK2Z8p873dcuEa5bu8nyzkJjgNItZAFrAYAd6kDVpI_lSm7y1p6KfbVsxSY3MZ-raf6TRCbU2GkYh6Bw89PuGFtcNpknAwWeCE6UWu2EG6MornzrN9xJZkq3UTxTx8mHMy6d7rxkvJbpOn8dtXoBsf54xuKHUfe2WLw040nrM0Rg6n6nx-wqUZgzt1PAivkfVRk58hAk3sSl1MDLuT0trUuWnnrHtEemOC_Pm7C4ZTjm_z5w-VvuFiq7rwY6LDUWFxr1lJNa7Z3wz8A3lfNylBfdW9_jG977qEuvVgiSHb7Dz4b838cwHd6Pqg58xUkrZdH0yrKctoCS0EWbIXvno7FsRPlVlCB5KE8il1ff95-N6uzJNpsN0z3mc1VqpHO0ajwc6yUUZiDau-_pVtg5yutR9riz32E1NPnYwPkEJXCpf1NBepwQ9GLkdHWairjO6cGsxXWFtBnxm2PnYtUo27WMDumXsktkXAhpKLfGcNZdSFuILGeaRSkrzCMxYIjp7TCspSe--alCU4oF-zw1fI8TRvJNzkprTjnv6s_r6x0oYOc786KepwtcNml9iWHof_pkPXHwXCA9mi903KZlZ5QE615LgrbiG359B31zeH610Hgs9AYs0qQ83hva157gfbKBobNfSyejKsbrgSpuH8f05zgcMzNvsL7I58mfGC24A-xylWxbK1_G1RGBLNq3r1-gW-6qUmhxAxtBJiz-gJTNRumLmFLcmlDqp6dFN1H3FJGnyXZCU5XQpHyucFbliXJyXzrpiVML_2LnCOdtNDk-z7CO0Pu7cZI9BrWCtrNvZJQHlsXYbdFINAL7Zkp5nh0_yf5eBdiqO_uj6-KAWrrzVl805OIseCDcRjbInbzwfIhoOflNTZtpQG5c-fZvINHk1fyFs9BDRgrOg67pVD1BFJqg5aBIKhIypHITPdDfsrdZ6Lz8RSr1OVC7u2oegvHiiwds7ogVirZEWbnmP0grUA5gcHF5HjISX7IckbkbyifHFiojNkzGC6re6LeAZxe13z5WF22YEvYVmSJFbkrh2rxSDcpqanhjdAhF8l-BHoxxb3Bhx-jFe0l98rtaWctmWOk4fqZNTl4ZwTK9LvJUmIAfTomWaHZgCeIGNaHZYocdWG2hH0cCkuG9YGleFOPZlpgIYk08opvcheQRCdjLtT8dAGQHVdDgk_Qr4_zAGEzm9AUMwqxfwkiUsqpOltUPwrcJXFYqRv3-h2pM71D2JFs0o6csgM4OJJHbGYlZZMogw4hcdxg6SQ0Y3l2-NpUPEMsOXn3v_P7PyjtQBAzwDgsy7Xi5LDQ0Gv7z7Ufj6C0rT24s41kQ6bxoHvBJs1iSobDcCWqA4eDzb5hgPsn7f4eywpfW_O-OshgbxFbDc0jwamI0VcozrlAlFJKfTqU8owFTJ1e10KbJ9-vx3PwTWLTPZfk2HzeNxE6Zv4SlVkQmLnqaLrEJVL83ly5jbGpjr_zwKJVVcuuz6mqR01U7zb1lFHF76HWeVNrzBIy_CKnhyMxr7qn3rJIoVsCAnBF4HYCo6oA0bqA9oVWmu5770CwQ36Ypz9RHkXnnLO8Kgs__MJ6AupQecOaOBD9dPHBaLo1DuTC0r1hjEpk3IOEb89YFK2jmn_XNSWXr7_wX6_TunA5uAwVgt5SAA6TGesHHYEvs4rZVLCNB44W6y-i4SOp8HNRmOIoH4asB-s/https://www.amazon.com/gp/aw/d/B0GG1VL4SZ/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=7843bd7bf08f33add793cc1137991ae5&hsa_cr_id=0&qid=1781634507&sr=1-1-f02f01d6-adaf-4bef-9a7c-29308eff9043&ref_=sbx__sbtcd2_asin_0_bkgd&pd_rd_w=ZbXBs&content-id=amzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a%3Aamzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_p=5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_r=Z0G7E87Q99SMSRQWYGVQ&pd_rd_wg=HtrrD&pd_rd_r=0429a9b3-7057-4b27-b295-cf68a66cbbb9,"https://m.media-amazon.com/images/I/71N1gcg2qHL._AC_SR322,134_CB1169409_QL70_.jpg",85,排名靠前；价格处于人民币等值¥57.60-¥180.00黄金区间；标题包含 comfort、arch support、beach、summer，符合美国女鞋舒适化趋势；评分达到4.3以上。
2026-06-17,amazon_us,product,best_sellers,Best Sellers Women Sandals,27,OOFOS OOriginal Recovery Sandal - Women’s and Men’s,¥431.64,4.6,"25,792",,,,,,https://www.amazon.com/OOFOS-Unisex-Original-Thong-Black/dp/B00IA4XD20/ref=zg_bs_g_679425011_d_sccl_27/140-6771765-3724643?psc=1,"https://images-na.ssl-images-amazon.com/images/I/51qiZpHX64L._AC_UL600_SR600,400_.jpg",81,排名进入前30；评论数高；价格高于人民币等值¥288.00；标题包含 recovery，符合美国女鞋舒适化趋势；评分达到4.6以上。
2026-06-17,amazon_us,product,best_sellers,Best Sellers Women Sandals,12,shevalues Orthopedic Sandals for Women Arch Support Recovery Flip Flops Pillow Soft Summer Beach Shoes,,4.3,$16.18,,,,,,https://www.amazon.com/Orthotic-Pillow-Recovery-Sandals-Support/dp/B09LC836QG/ref=zg_bs_g_679425011_d_sccl_12/140-6771765-3724643?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61o9ArJVVsL._AC_UL600_SR600,400_.jpg",77,排名进入前30；标题包含 recovery、orthopedic、arch support、soft、beach、summer，符合美国女鞋舒适化趋势；orthopedic + arch support组合趋势加分；评分达到4.3以上。
2026-06-17,amazon_us,product,best_sellers,Best Sellers Women Sandals,22,Crocs Women Getaway Strappy Sandals,¥285.77,4.5,"8,499",,,,,,https://www.amazon.com/Crocs-Getaway-Strappy-Sandals-Truffle/dp/B0D7VHXNKP/ref=zg_bs_g_679425011_d_sccl_22/140-6771765-3724643?psc=1,"https://images-na.ssl-images-amazon.com/images/I/41XlH+hu26L._AC_UL600_SR600,400_.jpg",77,排名进入前30；评论数高；价格处于人民币等值¥180.00-¥288.00区间；评分达到4.3以上。
2026-06-17,amazon_us,product,best_sellers,Best Sellers Women Sandals,5,Project Cloud 100% Genuine Leather Flat Sandals For Women 2026 Cork Footbed Womens Sandals with Memory Foam and arch support Vacation Essentials Slides for Women Footwear (Venita),,4.4,$37.90,,,,,,https://www.amazon.com/Project-Cloud-Comfortable-Essentials-Vacation/dp/B0CNYDF946/ref=zg_bs_g_679425011_d_sccl_5/140-6771765-3724643?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81HYWZcqucL._AC_UL600_SR600,400_.jpg",76,排名靠前；标题包含 cloud、arch support，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.3以上。
2026-06-17,amazon_us,product,search,women slides,6,shevalues Shower Shoes for Women Men with Arch Support Quick Drying Pool Slides Lightweight Beach Sandals with Drain Holes shevalues Shower Shoes for Women Men with Arch Support Quick Drying Pool Slides Lightweight Beach Sa…,¥86.33,4.4,4.4,,,,,,https://aax-us-east-retail-direct.amazon.com/x/c/JBWVqzCXSxq-kA_NxzB5OocAAAGe0bEjcAEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICBvjyQG/clv1c_ek-wBPXXVcba3DK2Z8p873dcuEa5bu8nyzkJjgNItZAFrAYAd6kDVpI_lSm7y1p6KfbVsxSY3MZ-raf6TRCbU2GkYh6Bw89PuGFtcNpknAwWeCE6UWu2EG6MornzrN9xJZkq3UTxTx8mHMy6d7rxkvJbpOn8dtXoBsf54xuKHUfe2WLw040nrM0Rg6n6nx-wqUZgzt1PAivkfVRk58hAk3sSl1MDLuT0trUuWnnrHtEemOC_Pm7C4ZTjm_z5w-VvuFiq7rwY6LDUWFxr1lJNa7Z3wz8A3lfNylBfdW9_jG977qEuvVgiSHb7Dz4b838cwHd6Pqg58xUkrZdH0yrKctoCS0EWbIXvno7FsRPlVlCB5KE8il1ff95-N6uzJNpsN0z3mc1VqpHO0ajwc6yUUZiDau-_pVtg5yutR9riz32E1NPnYwPkEJXCpf1NBepwQ9GLkdHWairjO6cGsxXWFtBnxm2PnYtUo27WMDumXsktkXAhpKLfGcNZdSFuILGeaRSkrzCMxYIjp7TCspSe--alCU4oF-zw1fI8TRvJNzkprTjnv6s_r6x0oYOc786KepwtcNml9iWHof_pkPXHwXCA9mi903KZlZ5QE615LgrbiG359B31zeH610Hgs9AYs0qQ83hva157gfbKBobNfSyejKsbrgSpuH8f05zgcMzNvsL7I58mfGC24A-xylWxbK1_G1RGBLNq3r1-gW-6qUmhxAxtBJiz-gJTNRumLmFLcmlDqp6dFN1H3FJGnyXZCU5XQpHyucFbliXJyXzrpiVML_2LnCOdtNDk-z7CO0Pu7cZI9BrWCtrNvZJQHlsXYbdFINAL7Zkp5nh0_yf5eBdiqO_uj6-KAWrrzVl805OIseCDcRjbInbzwfIhoOflNTZtpQG5c-fZvINHk1fyFs9BDRgrOg67pVD1BFJqg5aBIKhIypHITPdDfsrdZ6Lz8RSr1OVC7u2oegvHiiwds7ogVirZEWbnmP0grUA5gcHF5HjISX7IckbkbyifHFiojNkzGC6re6LeAZxe13z5WF22YEvYVmSJFbkrh2rxSDcpqanhjdAhF8l-BHoxxb3Bhx-jFe0l98rtaWctmWOk4fqZNTl4ZwTK9LvJUmIAfTomWaHZgCeIGNaHZYocdWG2hH0cCkuG9YGleFOPZlpgIYk08opvcheQRCdjLtT8dAGQHVdDgk_Qr4_zAGEzm9AUMwqxfwkiUsqpOltUPwrcJXFYqRv3-h2pM71D2JFs0o6csgM4OJJHbGYlZZMogw4hcdxg6SQ0Y3l2-NpUPEMsOXn3v_P7PyjtQBAzwDgsy7Xi5LDQ0Gv7z7Ufj6C0rT24s41kQ6bxoHvBJs1iSobDcCWqA4eDzb5hgPsn7f4eywpfW_O-OshgbxFbDc0jwamI0VcozrlAlFJKfTqU8owFTJ1e10KbJ9-vx3PwTWLTPZfk2HzeNxE6Zv4SlVkQmLnqaLrEJVL83ly5jbGpjr_zwKJVVcuuz6mqR01U7zb1lFHF76HWeVNrzBIy_CKnhyMxr7qn3rJIoVsCAnBF4HYCo6oA0bqA9oVWmu5770CwQ36Ypz9RHkXnnLO8Kgs__MJ6AupQecOaOBD9dPHBaLo1DuTC0r1hjEpk3IOEb89YFK2jmn_XNSWXr7_wX6_TunA5uAwVgt5SAA6TGesHHYEvs4rZVLCNB44W6y-i4SOp8HNRmOIoH4asB-s/https://www.amazon.com/gp/aw/d/B07759MD3B/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=7843bd7bf08f33add793cc1137991ae5&hsa_cr_id=0&qid=1781634507&sr=1-2-f02f01d6-adaf-4bef-9a7c-29308eff9043&ref_=sbx__sbtcd2_asin_1_bkgd&pd_rd_w=ZbXBs&content-id=amzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a%3Aamzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_p=5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_r=Z0G7E87Q99SMSRQWYGVQ&pd_rd_wg=HtrrD&pd_rd_r=0429a9b3-7057-4b27-b295-cf68a66cbbb9,"https://m.media-amazon.com/images/I/51tSepxKI5L._AC_SR322,134_CB1169409_QL70_.jpg",76,排名靠前；价格处于人民币等值¥57.60-¥180.00黄金区间；标题包含 arch support、beach，符合美国女鞋舒适化趋势；评分达到4.3以上。
2026-06-17,amazon_us,product,search,women slides,8,"shevalues Shower Shoes for Women with Arch Support Quick Drying Pool Slides Lightweight Beach Sandals with Drain Holes, Light Blue 9.5-10.5 Women /8-9 Men shevalues Shower Shoes for Women with Arch Support Quick Drying Pool Slides Lightweight Beach Sandals…",¥71.93,4.5,4.5,,,,,,https://aax-us-east-retail-direct.amazon.com/x/c/JBWVqzCXSxq-kA_NxzB5OocAAAGe0bEjcAEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICBvjyQG/clv1c_ek-wBPXXVcba3DK2Z8p873dcuEa5bu8nyzkJjgNItZAFrAYAd6kDVpI_lSm7y1p6KfbVsxSY3MZ-raf6TRCbU2GkYh6Bw89PuGFtcNpknAwWeCE6UWu2EG6MornzrN9xJZkq3UTxTx8mHMy6d7rxkvJbpOn8dtXoBsf54xuKHUfe2WLw040nrM0Rg6n6nx-wqUZgzt1PAivkfVRk58hAk3sSl1MDLuT0trUuWnnrHtEemOC_Pm7C4ZTjm_z5w-VvuFiq7rwY6LDUWFxr1lJNa7Z3wz8A3lfNylBfdW9_jG977qEuvVgiSHb7Dz4b838cwHd6Pqg58xUkrZdH0yrKctoCS0EWbIXvno7FsRPlVlCB5KE8il1ff95-N6uzJNpsN0z3mc1VqpHO0ajwc6yUUZiDau-_pVtg5yutR9riz32E1NPnYwPkEJXCpf1NBepwQ9GLkdHWairjO6cGsxXWFtBnxm2PnYtUo27WMDumXsktkXAhpKLfGcNZdSFuILGeaRSkrzCMxYIjp7TCspSe--alCU4oF-zw1fI8TRvJNzkprTjnv6s_r6x0oYOc786KepwtcNml9iWHof_pkPXHwXCA9mi903KZlZ5QE615LgrbiG359B31zeH610Hgs9AYs0qQ83hva157gfbKBobNfSyejKsbrgSpuH8f05zgcMzNvsL7I58mfGC24A-xylWxbK1_G1RGBLNq3r1-gW-6qUmhxAxtBJiz-gJTNRumLmFLcmlDqp6dFN1H3FJGnyXZCU5XQpHyucFbliXJyXzrpiVML_2LnCOdtNDk-z7CO0Pu7cZI9BrWCtrNvZJQHlsXYbdFINAL7Zkp5nh0_yf5eBdiqO_uj6-KAWrrzVl805OIseCDcRjbInbzwfIhoOflNTZtpQG5c-fZvINHk1fyFs9BDRgrOg67pVD1BFJqg5aBIKhIypHITPdDfsrdZ6Lz8RSr1OVC7u2oegvHiiwds7ogVirZEWbnmP0grUA5gcHF5HjISX7IckbkbyifHFiojNkzGC6re6LeAZxe13z5WF22YEvYVmSJFbkrh2rxSDcpqanhjdAhF8l-BHoxxb3Bhx-jFe0l98rtaWctmWOk4fqZNTl4ZwTK9LvJUmIAfTomWaHZgCeIGNaHZYocdWG2hH0cCkuG9YGleFOPZlpgIYk08opvcheQRCdjLtT8dAGQHVdDgk_Qr4_zAGEzm9AUMwqxfwkiUsqpOltUPwrcJXFYqRv3-h2pM71D2JFs0o6csgM4OJJHbGYlZZMogw4hcdxg6SQ0Y3l2-NpUPEMsOXn3v_P7PyjtQBAzwDgsy7Xi5LDQ0Gv7z7Ufj6C0rT24s41kQ6bxoHvBJs1iSobDcCWqA4eDzb5hgPsn7f4eywpfW_O-OshgbxFbDc0jwamI0VcozrlAlFJKfTqU8owFTJ1e10KbJ9-vx3PwTWLTPZfk2HzeNxE6Zv4SlVkQmLnqaLrEJVL83ly5jbGpjr_zwKJVVcuuz6mqR01U7zb1lFHF76HWeVNrzBIy_CKnhyMxr7qn3rJIoVsCAnBF4HYCo6oA0bqA9oVWmu5770CwQ36Ypz9RHkXnnLO8Kgs__MJ6AupQecOaOBD9dPHBaLo1DuTC0r1hjEpk3IOEb89YFK2jmn_XNSWXr7_wX6_TunA5uAwVgt5SAA6TGesHHYEvs4rZVLCNB44W6y-i4SOp8HNRmOIoH4asB-s/https://www.amazon.com/gp/aw/d/B09W9GR45G/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=7843bd7bf08f33add793cc1137991ae5&hsa_cr_id=0&qid=1781634507&sr=1-4-f02f01d6-adaf-4bef-9a7c-29308eff9043&ref_=sbx__sbtcd2_asin_3_bkgd&pd_rd_w=ZbXBs&content-id=amzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a%3Aamzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_p=5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_r=Z0G7E87Q99SMSRQWYGVQ&pd_rd_wg=HtrrD&pd_rd_r=0429a9b3-7057-4b27-b295-cf68a66cbbb9,"https://m.media-amazon.com/images/I/61WExx8S6rL._AC_SR322,134_CB1169409_QL70_.jpg",76,排名靠前；价格处于人民币等值¥57.60-¥180.00黄金区间；标题包含 arch support、beach，符合美国女鞋舒适化趋势；评分达到4.3以上。
2026-06-17,amazon_us,product,best_sellers,Best Sellers Women Sandals,18,"Goosecret Women's Platform Sandals with Arch Support, Chunky Lightweight Foam Slip on Slides, Comfortable Summer Beach Sandals with Adjustable Buckle",,4.4,$18.99,,,,,,https://www.amazon.com/Goosecret-Platform-Lightweight-Comfortable-Adjustable/dp/B0CZ75N4PP/ref=zg_bs_g_679425011_d_sccl_18/140-6771765-3724643?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61l3YNTRtgL._AC_UL600_SR600,400_.jpg",72,排名进入前30；标题包含 platform、comfort、arch support、beach、summer，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；评分达到4.3以上。
