date,source,data_type,list_type,keyword,rank,title,price,rating,review_count,likes,comments,views,published_at,competition_count,product_url,image_url,hot_score,reason
2026-06-30,amazon_us,product,new_releases,New Releases Women Sandals,28,COFACE Womens Rhinestone Orthopedic Flip Flops Lightweight Yoga Mat Thick Cushioned Recovery Walking Thong Sandals Adjustable Summer Beach Slippers with Comfortable Plantar Fasciitis Arch Support,,4.6,$32.99,,,,,,https://www.amazon.com/COFACE-Rhinestone-Orthopedic-Cushioned-Comfortable/dp/B0GVM4ZB8M/ref=zg_bsnr_g_679425011_d_sccl_28/131-2420729-2232321?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71fBrTGWDYL._AC_UL600_SR600,400_.jpg",80,排名进入前30；标题包含 recovery、orthopedic、comfort、arch support、beach、summer，符合美国女鞋舒适化趋势；orthopedic + arch support组合趋势加分；评分达到4.6以上。
2026-06-30,amazon_us,product,new_releases,New Releases Women Sandals,7,"Project Cloud Genuine Leather Women’s Sandals – Thong Flip Flops with Plush Soft Insole, Arch Support & Non Slip Outsole – Comfortable Beach & Summer Slides",,4.1,$39.90,,,,,,https://www.amazon.com/Project-Cloud-Genuine-Leather-Sandals/dp/B0GHT8V7LK/ref=zg_bsnr_g_679425011_d_sccl_7/131-2420729-2232321?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71Da9eEAVQL._AC_UL600_SR600,400_.jpg",79,排名靠前；标题包含 cloud、comfort、arch support、soft、beach、summer，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.0以上。
2026-06-30,amazon_us,product,best_sellers,Best Sellers Women Sandals,21,shevalues Orthopedic Sandals for Women Arch Support Recovery Flip Flops Pillow Soft Summer Beach Shoes,,4.3,$18.99,,,,,,https://www.amazon.com/Orthotic-Pillow-Recovery-Sandals-Support/dp/B09LC836QG/ref=zg_bs_g_679425011_d_sccl_21/143-7388986-9565120?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61o9ArJVVsL._AC_UL600_SR600,400_.jpg",77,排名进入前30；标题包含 recovery、orthopedic、arch support、soft、beach、summer，符合美国女鞋舒适化趋势；orthopedic + arch support组合趋势加分；评分达到4.3以上。
2026-06-30,amazon_us,product,best_sellers,Best Sellers Women Sandals,3,Project Cloud 100% Genuine Leather Flat Sandals For Women 2026 Cork Footbed Womens Sandals with Memory Foam and arch support Vacation Essentials Slides for Women Footwear (Venita),,4.4,$39.90,,,,,,https://www.amazon.com/Project-Cloud-Comfortable-Essentials-Vacation/dp/B0CNYCN928/ref=zg_bs_g_679425011_d_sccl_3/143-7388986-9565120?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61PPWwEkHDL._AC_UL600_SR600,400_.jpg",76,排名靠前；标题包含 cloud、arch support，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.3以上。
2026-06-30,amazon_us,product,best_sellers,Best Sellers Women Sandals,15,"Goosecret Women's Comfortable Arch Support Walking Platform Sandals | Lightweight Chunky Slip-On Foam Slides with Adjustable Buckle, Sandals for Beach and Daily Wear",,4.4,$18.99,,,,,,https://www.amazon.com/Goosecret-Platform-Lightweight-Comfortable-Adjustable/dp/B0CZ75N4PP/ref=zg_bs_g_679425011_d_sccl_15/143-7388986-9565120?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61l3YNTRtgL._AC_UL600_SR600,400_.jpg",72,排名进入前30；标题包含 platform、comfort、arch support、beach，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；评分达到4.3以上。
2026-06-30,amazon_us,product,new_releases,New Releases Women Sandals,19,SHIBEVER Womens Wedge Sandals Dressy: Arch Support Slip-On Comfortable Summer Sandals Open Toe Flower Casual Platform Shoes Size 5-11,,4.5,$35.99,,,,,,https://www.amazon.com/SHIBEVER-Comfortable-Lightweight-Platform-Vacation/dp/B0GZQ2W66D/ref=zg_bsnr_g_679425011_d_sccl_19/131-2420729-2232321?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71s6gVMM2nL._AC_UL600_SR600,400_.jpg",72,排名进入前30；标题包含 platform、comfort、arch support、summer、wedge，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；评分达到4.3以上。
2026-06-30,amazon_us,product,best_sellers,Best Sellers Women Sandals,2,KuaiLu Flip Flops for Women with Arch Support Yoga Mat Comfortable Summer Beach Walking Thong Cushion Sandals Slip On Indoor Outdoor,,4.3,$13.99,,,,,,https://www.amazon.com/KuaiLu-Support-Comfortable-Walking-Sandals/dp/B0C5ZRQS2X/ref=zg_bs_g_679425011_d_sccl_2/143-7388986-9565120?psc=1,"https://images-na.ssl-images-amazon.com/images/I/710PdcSAm6L._AC_UL600_SR600,400_.jpg",70,排名靠前；标题包含 comfort、arch support、beach、summer，符合美国女鞋舒适化趋势；评分达到4.3以上。
2026-06-30,amazon_us,product,best_sellers,Best Sellers Women Sandals,28,Project Cloud 100% Genuine Leather Flat Sandals for Women 2026 Comfortable Beach Essentials Womens Sandals Memory Foam Vacation Essentials Slides for Women Footwear (Santorini),,4.3,$49.90,,,,,,https://www.amazon.com/Project-Cloud-Comfortable-Essentials-Santorini/dp/B0DQF8F5XV/ref=zg_bs_g_679425011_d_sccl_28/143-7388986-9565120?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81gswZHf+6L._AC_UL600_SR600,400_.jpg",69,排名进入前30；标题包含 cloud、comfort、beach，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.3以上。
2026-06-30,amazon_us,product,search,platform sandals women,15,"CUSHIONAIRE Bera Platform Thong Womens Sandals, Stylish Wedge Flip Flops for Women with Contoured Comfort Footbed CUSHIONAIRE Bera Platform Thong Womens Sandals, Stylish Wedge Flip Flops for Women with Contoured Comfort Footbed",¥359.93,4.1,4.1,,,,,,https://aax-us-east-retail-direct.amazon.com/x/c/JPq_SHIAqHoHliwvBEYdHTIAAAGfGFCWogEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDIgICD814Vb/clv1c_ek-wBHfWLTbbTQ4Sc56pypv7JpMNsNZktrnNMI2THimtnf3qqT13J4pPT2VovmImz6WEJtF-zLBnf-zN8G7vYpnsaK1rDYMU3CQXLglR7Pg-jZZdqCY9FloXgth0owrBdxHrtaxTk0uKjAY-_fAmhDqOjNE8FlLa4gTxArGtypRfyeqYFvrF61Qx0RBkd7-Po2GNebENfoL4xWR8s1by8T6LPUWtQN63HQYOaCqSZ-EIcH6unGxNUQxO9gTe9u7al5b0929_ueCiCzMqyTFwFEwAnIxgINPty0B_9jv0n3WUaN6Fjbyla4lXZRerMHXg2em6ac6no__8MYgXwoVZEkKa32OL-bYXL8feWjaZ4NVqSzGxHejg31U9O6M_0vXGc45kwjcrwbzYpd1B_bzluvp90dbIkzRRYM_fom2jlCcGGgztrwju-3JwiQQRdGGZqez70drCNl8OXsJ-3AuRas1Y4XvatAMGKuCAGfJ7EmJ5jItqNvm2qNZr1VWBieidjsaWziSVUejd1NXCgigZ0LxrDEk3G5vrbYZhKeT-HNJ9iTAuxxcvbEv5HR0cGg9lqsfkwtz6yrZNlaGzgxQo4BhJVeiCeZ3iuztAH94ZlnkMnLawyhbZPJd21pvj_-bU0fqfnf7zYpFU9fhuzEsRSZm6pVTxTVXjOjbSso5KTztd_de-sW2WxyS-VgreuHGCtIXf055ga3w147KwnPrkVq_1FggI_IrIjvoGOib_k1e90Byf2Y_QiQbFHJu9gAeMj3F2htcSW-SMke3LZDA0LBcl_-Q95QmeS4fup_SGazvvcfBM-pIKYYoP3ngHTbxM6qSwTREfIlcJQ55QZdWgM5jnYd-RFnJzN0co9bB2dr-XO17oTFJOchJ4nOD0gdVpNAVPXBiFnR7EPBcPWbkx3cdBqkcUfiI6PmU02whgfCEoKiKAZlFHdjDG4TPmzLAgaPZte6XAdOLAFUTUeb81wLI6DpYgM0ercZz7jM1BtJNa82gdtIkcb44wGILJX28qTB3Hrh2qJgFIDoMMK-XEgME4j6PURIOHT8SVu9IOK8Q2AJ239mDhJEKwjFKS2WgqpEIGRJFYNpBM4fXNmpEfbDnqhUFNlX9tu8YAF3Duh7LIICd8wPcos5UtYGOcgQ4yhWEjR-RPtC1q-U9P2ZPJSA4QZsJH5MFyw2tz50KUyPOY_7bgH9aJ7ohmk0cMl8MRdyS0_d5eZozJJBO-NvdK2sBkZ-jXkKvh09696Ih3c0O5B560zIiE34MIDn0ZV-qX915YXJq-ek19nZWYdvmvK31z25EXnFwil3ueQgya7S4VRzfNWRPAX2qOs0Z5B7kl5lwO1C3zYCtKbo5rmd7OW2g4YMSI6T1R3X1HtViUtPqlOznH52AhK5CLt52B8QGgK2r9TwiV4nwerNVQTPSdp7VRe94OCXisBFpCCSy8JczqdnDv_qUfyH-C4brHDxJ2tdREa3n8FjiMeHryhlFk2eXYCDJgryYFZ2MniX9x_EpE4YzGs0UlUxdX-EGOcGLSUcXs14MOu1LK0YlJ07cbtYgThgNU8x0MzPu4qfkzD2-7UNkpBcsUPfnp1xWxNM0g52xAFmjqGD68HPQ8MIzuQw0-7W8E-NJ27GOTN1zTUnmCSYiXjX5ba5NnZ4CciVLeqHaCka6B9wlDImMNiH1fWDOAw91c4jJqKJwr7zsiENyU1H6_I6MlU1BAdQ/https://www.amazon.com/gp/aw/d/B0GRCBZ74J/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=c7d38bfa712427d61afec6f0341c3cf4&hsa_cr_id=0&qid=1782819362&sr=1-1-f02f01d6-adaf-4bef-9a7c-29308eff9043&ref_=sbx__sbtcd2_asin_0_bkgd&pd_rd_w=webbg&content-id=amzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a%3Aamzn1.sym.5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_p=5159d9cb-0665-4a83-8f64-8881eaba312a&pf_rd_r=A9T933MJ3PF25G349CSX&pd_rd_wg=Nm2fM&pd_rd_r=e8440531-8ac5-4e9c-98c2-745a864b3876,"https://m.media-amazon.com/images/I/71XqmWoMzeL._AC_SR322,134_CB1169409_QL70_.jpg",69,排名进入前30；价格高于人民币等值¥288.00；标题包含 platform、comfort、wedge，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；评分达到4.0以上。
2026-06-30,amazon_us,product,new_releases,New Releases Women Sandals,4,Project Cloud Platform Sandals Women - Memory Foam Insole Flip Flops and Lightweight Womens Sandals - Non-Slip Summer Thong Sandals for Women 2026 (ELEVATION),,4.2,$39.90,,,,,,https://www.amazon.com/Project-Cloud-Platform-Sandals-Women/dp/B0GTZK16HL/ref=zg_bsnr_g_679425011_d_sccl_4/131-2420729-2232321?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61Kn9EsnuXL._AC_UL600_SR600,400_.jpg",68,排名靠前；标题包含 cloud、platform、summer，符合美国女鞋舒适化趋势；评分达到4.0以上。
